"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Blueprint Health","GroupHub","20,000","seed","2015-02-05","Details",""
"2",2,"Blueprint Health","Psocratic","20,000","seed","2015-07-01","Details",""
"3",3,"Blueprint Health","Meddik","750,000","seed","2012-05-24","Details",""
"4",4,"Blueprint Health","Healthy Bytes","20,000","seed","2015-02-05","Details",""
"5",5,"Blueprint Health","Nurep","20,000","seed","2013-01-01","Details",""
"6",6,"Blueprint Health","Signifikance","20,000","seed","2015-02-05","Details",""
"7",7,"Blueprint Health","MediQuire","20,000","seed","2014-01-01","Details",""
"8",8,"Blueprint Health","Touch Surgery","20,000","seed","2013-01-01","Details",""
"9",9,"Blueprint Health","PulseBeat","20,000","seed","2014-01-01","Details",""
"10",10,"Blueprint Health","Bind Health","20,000","seed","2015-07-01","Details","Exited"
"11",11,"Blueprint Health","IntelligentM","","seed","2013-01-14","Details",""
"12",12,"Blueprint Health","InquisitHealth","20,000","seed","2012-03-29","Details",""
"13",13,"Blueprint Health","DocASAP","20,000","seed","2013-01-01","Details",""
"14",14,"Blueprint Health","Wellsbi","20,000","seed","2016-05-01","Details",""
"15",15,"Blueprint Health","Crediyo","20,000","seed","2015-07-01","Details",""
"16",16,"Blueprint Health","OhMD","","seed","2016-05-01","Details",""
"17",17,"Blueprint Health","PadInMotion","20,000","seed","2013-01-14","Details",""
"18",18,"Blueprint Health","EMBI","20,000","seed","2012-07-19","Details",""
"19",19,"Blueprint Health","Keona Health","20,000","seed","2013-01-01","Details",""
"20",20,"Blueprint Health","Luminate Health","1,000,000","seed","2013-10-08","Details",""
"21",21,"Blueprint Health","SymbiosisHealth","20,000","seed","2012-07-19","Details","Exited"
"22",22,"Blueprint Health","MediQuire","4,000,000","venture","2016-04-04","Details",""
"23",23,"Blueprint Health","ThriveStreams","20,000","seed","2016-05-01","Details",""
"24",24,"Blueprint Health","HealthyOut","1,200,000","seed","2013-01-14","Details","Exited"
"25",25,"Blueprint Health","Stirplate","20,000","seed","2014-07-14","Details",""
"26",26,"Blueprint Health","MedPilot","20,000","seed","2015-07-01","Details",""
"27",27,"Blueprint Health","StaffInsight","20,000","seed","2013-09-26","Details",""
"28",28,"New York Digital Health Accelerator","AllazoHealth","20,000","seed","2012-07-19","Details",""
"29",29,"Blueprint Health","Luminate Health","20,000","seed","2013-01-01","Details",""
"30",30,"Blueprint Health","Sparkite","20,000","seed","2016-05-01","Details",""
"31",31,"DreamIT Ventures","DecisiveHealth","20,000","seed","2014-01-01","Details",""
"32",32,"Blueprint Health","Limestone Labs","20,000","seed","2015-02-05","Details",""
"33",33,"Blueprint Health","TapGenes","20,000","seed","2015-02-05","Details",""
"34",34,"Blueprint Health","aidin","20,000","seed","2012-03-29","Details",""
"35",35,"Blueprint Health","Position Health","20,000","seed","2015-07-01","Details",""
"36",36,"Blueprint Health","GeriJoy","20,000","seed","2012-07-19","Details",""
"37",37,"Blueprint Health","BoardVitals","20,000","seed","2013-09-26","Details",""
"38",38,"Blueprint Health","AdhereTech","600,000","seed","2011-07-19","Details",""
"39",39,"Blueprint Health","MedPilot","750,000","seed","2016-04-06","Details",""
"40",40,"LaunchBox Digital","Keona Health","2,585,000","venture","2014-03-31","Details",""
"41",41,"Blueprint Health","Healthify","20,000","seed","2013-09-26","Details",""
"42",42,"Blueprint Health","DaisyBill","20,000","seed","2012-07-19","Details",""
"43",43,"Blueprint Health","DocDelta","20,000","seed","2015-07-01","Details",""
"44",44,"Blueprint Health","SymCat","20,000","seed","2012-03-29","Details",""
"45",45,"Blueprint Health","Blue Mesa Health","640,000","convertible_note","2017-05-01","Details",""
"46",46,"Blueprint Health","DocASAP","","seed","2013-09-05","Details",""
