"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Capital Factory","PetsMD","20,000","seed","2009-06-01","Details",""
"2",2,"Y Combinator","Message.io","","seed","2016-03-03","Details",""
"3",3,"Capital Factory","NuHabitat","","seed","2013-10-15","Details",""
"4",4,"Capital Factory","RippleFunction","20,000","seed","2010-05-01","Details","Dead"
"5",5,"DreamIT Ventures","NarrativeDx","650,000","seed","2015-06-08","Details",""
"6",6,"500startups","Equipboard","","seed","2012-10-15","Details",""
"7",7,"Techstars","Ube","773,000","seed","2014-08-14","Details",""
"8",8,"Capital Factory","SpeakerMix","","seed","2011-09-01","Details","Dead"
"9",9,"Techstars","Ube","700,000","convertible_note","2014-08-30","Details",""
"10",10,"Capital Factory","KeepStream","20,000","seed","2010-05-01","Details","Exited"
"11",11,"Capital Factory","SwimTopia","","seed","2010-01-01","Details",""
"12",12,"Capital Factory","Famigo","1,000,000","seed","2012-03-29","Details",""
"13",13,"Capital Factory","MyTennisLessons","","seed","2013-10-15","Details",""
"14",14,"Capital Factory","Smackages","20,000","seed","2010-05-01","Details",""
"15",15,"Capital Factory","Hourville","","seed","2009-08-01","Details","Dead"
"16",16,"DreamIT Ventures","TrendKite","4,417,202","venture","2015-02-26","Details",""
"17",17,"Techstars","PenPal Schools","","seed","2015-04-01","Details",""
"18",18,"Y Combinator","CrateJoy","4,000,000","venture","2014-10-14","Details",""
"19",19,"Capital Factory","Sparefoot","3,500,000","venture","2011-03-07","Details",""
"20",20,"500startups","Remark","","seed","2013-10-15","Details",""
"21",21,"Techstars","Postmaster","118,000","seed","2013-01-15","Details",""
"22",22,"Techstars","Postmaster","600,000","seed","2013-05-21","Details",""
"23",23,"Capital Factory","LanternCRM","","seed","2013-10-15","Details",""
"24",24,"Capital Factory","Hurricane Party","20,000","seed","2010-05-01","Details","Dead"
"25",25,"Capital Factory","Aceable","","seed","2013-10-15","Details",""
"26",26,"Capital Factory","GroupCharger","","seed","2011-09-01","Details",""
"27",27,"Capital Factory","RecycleMatch","20,000","seed","2010-05-01","Details",""
"28",28,"Capital Factory","Sparefoot","850,000","venture","2009-09-01","Details",""
"29",29,"Capital Factory","Famigo","20,000","undisclosed","2009-04-22","Details",""
"30",1,"Kip McClanahan","Sparefoot","850,000","venture","2009-09-01","Details",""
"31",2,"Capital Factory","PetsMD","20,000","seed","2009-06-01","Details",""
"32",3,"Liahona Ventures","Famigo","1,000,000","seed","2012-03-29","Details",""
"33",4,"Capital Factory","NuHabitat","","seed","2013-10-15","Details",""
"34",5,"Silverton Partners","Sparefoot","850,000","venture","2009-09-01","Details",""
"35",6,"Capital Factory","RippleFunction","20,000","seed","2010-05-01","Details","Dead"
"36",7,"RSH Ventures","Sparefoot","850,000","venture","2009-09-01","Details",""
"37",8,"Silverton Partners","Aceable","4,700,000","seed","2015-10-01","Details",""
"38",9,"Insight Venture Partners","Sparefoot","10,000,000","venture","2014-02-24","Details",""
"39",10,"FLOODGATE","Aceable","4,000,000","venture","2016-09-23","Details",""
"40",11,"Capital Factory","SpeakerMix","","seed","2011-09-01","Details","Dead"
"41",12,"FLOODGATE","Sparefoot","3,500,000","venture","2011-03-07","Details",""
"42",13,"Monkfish Equity","Sparefoot","33,000,000","venture","2015-03-11","Details",""
"43",14,"Capital Factory","KeepStream","20,000","seed","2010-05-01","Details","Exited"
"44",15,"Silverton Partners","Famigo","1,000,000","seed","2012-03-29","Details",""
"45",16,"Revolution LLC","Sparefoot","33,000,000","venture","2015-03-11","Details",""
"46",17,"Capital Factory","SwimTopia","","seed","2010-01-01","Details",""
"47",18,"Capital Factory","Famigo","1,000,000","seed","2012-03-29","Details",""
"48",19,"Capital Factory","MyTennisLessons","","seed","2013-10-15","Details",""
"49",20,"Capital Factory","Smackages","20,000","seed","2010-05-01","Details",""
"50",21,"Capital Factory","Hourville","","seed","2009-08-01","Details","Dead"
"51",22,"Insight Venture Partners","Sparefoot","33,000,000","venture","2015-03-11","Details",""
"52",23,"Zilker Ventures","Famigo","1,000,000","seed","2012-03-29","Details",""
"53",24,"NextGen Venture Partners","Aceable","4,700,000","seed","2015-10-01","Details",""
"54",25,"NextGen Venture Partners","Aceable","4,000,000","venture","2016-09-23","Details",""
"55",26,"Capital Factory","Sparefoot","3,500,000","venture","2011-03-07","Details",""
"56",27,"Silverton Partners","Aceable","4,000,000","venture","2016-09-23","Details",""
"57",28,"FLOODGATE","Aceable","4,700,000","seed","2015-10-01","Details",""
"58",29,"Capital Factory","LanternCRM","","seed","2013-10-15","Details",""
"59",30,"Capital Factory","Hurricane Party","20,000","seed","2010-05-01","Details","Dead"
"60",31,"Kip McClanahan","Sparefoot","3,500,000","venture","2011-03-07","Details",""
"61",32,"Capital Factory","Aceable","","seed","2013-10-15","Details",""
"62",33,"Capital Factory","GroupCharger","","seed","2011-09-01","Details",""
"63",34,"Capital Factory","RecycleMatch","20,000","seed","2010-05-01","Details",""
"64",35,"Capital Factory","Sparefoot","850,000","venture","2009-09-01","Details",""
"65",36,"Capital Factory","Famigo","20,000","undisclosed","2009-04-22","Details",""
"66",37,"Silverton Partners","Sparefoot","3,500,000","venture","2011-03-07","Details",""
