"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Chinaccelerator","eProf","","seed","2011-08-15","Details",NA
"2",2,"Chinaccelerator","OrderWithMe","3,000,000","venture","2011-12-08","Details",NA
"3",3,"Chinaccelerator","Launchpilots","","seed","2013-05-29","Details",NA
"4",4,"Chinaccelerator","Seeder","16,000","seed","2013-05-28","Details",NA
"5",5,"Chinaccelerator","Piktochart","","seed","2011-08-15","Details",NA
"6",6,"Chinaccelerator","AYLIEN","","seed","2010-12-17","Details",NA
"7",7,"Chinaccelerator","IQ Friends","","venture","2013-06-07","Details",NA
"8",8,"Chinaccelerator","Kwestr","57,000","seed","2011-09-13","Details",NA
"9",9,"Jolt","eProf","","seed","2011-08-15","Details",NA
"10",10,"Chinaccelerator","TuiCool","","seed","2012-07-01","Details",NA
"11",1,"Infinity Venture Partners","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"12",2,"SOSV","TuiCool","","seed","2014-01-28","Details",""
"13",3,"Chinaccelerator","eProf","","seed","2011-08-15","Details",""
"14",4,"Parsa Ghaffari","AYLIEN","500,000","seed","2011-04-01","Details",""
"15",5,"Chinaccelerator","OrderWithMe","3,000,000","venture","2011-12-08","Details",""
"16",6,"Adam Lang","Kwestr","57,000","seed","2011-09-13","Details",""
"17",7,"Patrick Berbon","Seeder","365,000","venture","2015-08-11","Details",""
"18",8,"Silicon Valley Bank","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"19",9,"Right Side Capital Management","Appfuel","200,000","convertible_note","2013-07-16","Details","Exited"
"20",10,"Marc van der Chijs","Kwestr","57,000","seed","2011-09-13","Details",""
"21",11,"Pentland Group","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"22",12,"SOSV","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"23",13,"Fledge","Seeder","17,000","seed","2014-09-01","Details",""
"24",14,"Base Ventures","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"25",15,"BaseVC","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"26",16,"LAUNCHub","IQ Friends","30,000","venture","2014-02-27","Details",""
"27",17,"SOSV","Seeder","16,000","seed","2013-05-28","Details",""
"28",18,"Tony Hsieh","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"29",19,"Jacob Hsu","Kwestr","57,000","seed","2011-09-13","Details",""
"30",20,"Alexander Yu","Kwestr","57,000","seed","2011-09-13","Details",""
"31",21,"Jamie Lin","Splitforce","150,000","seed","2014-06-09","Details","Exited"
"32",22,"BaseVC","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"33",23,"VegasTechFund","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"34",24,"Chinaccelerator","Launchpilots","","seed","2013-05-29","Details",""
"35",25,"SOSV","Seeder","365,000","venture","2015-08-11","Details",""
"36",26,"Simon Newstead","Splitforce","150,000","seed","2014-06-09","Details","Exited"
"37",27,"Chinaccelerator","Seeder","16,000","seed","2013-05-28","Details",""
"38",28,"Steven Ho","Splitforce","150,000","seed","2014-06-09","Details","Exited"
"39",29,"SOSV","IQ Friends","","venture","2013-06-07","Details",""
"40",30,"SOSV","AYLIEN","580,000","venture","2016-03-06","Details",""
"41",31,"Skywood Capital","Seeder","365,000","venture","2015-08-11","Details",""
"42",32,"SOSV","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"43",33,"Silicon Valley Bank","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"44",34,"Chinaccelerator","Piktochart","","seed","2011-08-15","Details",""
"45",35,"SOSV","AYLIEN","","seed","2010-12-17","Details",""
"46",36,"Adam Bornstein","Kwestr","57,000","seed","2011-09-13","Details",""
"47",37,"Vegas Tech Fund","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"48",38,"SOSV","Launchpilots","","seed","2014-01-31","Details",""
"49",39,"Shelli Trung","Seeder","365,000","venture","2015-08-11","Details",""
"50",40,"Fresco Capital","Launchpilots","","seed","2014-01-31","Details",""
"51",41,"Start-Up Chile","Seeder","40,000","seed","2013-12-20","Details",""
"52",42,"Chinaccelerator","AYLIEN","","seed","2010-12-17","Details",""
"53",43,"Enterprise Ireland","AYLIEN","580,000","venture","2016-03-06","Details",""
"54",44,"SOSV","AYLIEN","500,000","seed","2011-04-01","Details",""
"55",45,"Chinaccelerator","IQ Friends","","venture","2013-06-07","Details",""
"56",46,"Karl Knoflach","Kwestr","57,000","seed","2011-09-13","Details",""
"57",47,"Chinaccelerator","Kwestr","57,000","seed","2011-09-13","Details",""
"58",48,"Advantage Capital Partners","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"59",49,"Infinity Venture Partners","OrderWithMe","3,000,000","venture","2011-12-08","Details",""
"60",50,"Tony Hsieh","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"61",51,"SOSV","Splitforce","150,000","seed","2014-06-09","Details","Exited"
"62",52,"Guillaume Luccisano","Splitforce","150,000","seed","2014-06-09","Details","Exited"
"63",53,"AngelVest","Seeder","365,000","venture","2015-08-11","Details",""
"64",54,"Chinaccelerator","TuiCool","","seed","2012-07-01","Details",""
