"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Techstars","EverLedger","118,000","seed","2015-03-23","Details",NA
"2",1,"Techstars","Post-Quantum","118,000","seed","2015-03-23","Details",NA
"3",1,"Techstars","DoPay","2,400,000","seed","2016-01-29","Details",NA
"4",1,"Techstars","Bokio","","seed","2017-01-31","Details",NA
"5",2,"Techstars","ForwardLane","1,100,000","seed","2017-01-22","Details",NA
"6",3,"Techstars","Cuvva","","seed","2015-12-20","Details",NA
"7",4,"Techstars","Alyne","20,000","undisclosed","2017-01-23","Details",NA
"8",5,"Techstars","SwiftComply","900,000","seed","2017-03-02","Details",NA
"9",6,"Techstars","Simudyne","","seed","2017-01-31","Details",NA
"10",7,"Boost VC","Atlas Card","1,800,000","seed","2015-12-31","Details",NA
"11",8,"Techstars","Aire","1,100,000","seed","2015-01-30","Details",NA
"12",9,"Techstars","ForwardLane","575,000","angel","2016-01-30","Details",NA
"13",10,"Techstars","Seldon","","seed","2016-01-25","Details",NA
"14",1,"Techstars","Atlas","1,800,000","seed","2015-12-31","Details",NA
