"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"500startups","Chewse","1,000,000","seed","2013-04-01","Details",NA
"2",1,"Y Combinator","Auctomatic","400,000","angel","2007-01-01","Details","Exited"
"3",2,"Y Combinator","HelloChair","15,000","seed","2007-06-01","Details","Dead"
"4",3,"Y Combinator","DailyBooth","1,000,000","angel","2009-10-19","Details","Exited"
"5",4,"Y Combinator","AdGrok","470,000","angel","2011-03-07","Details","Exited"
"6",5,"Y Combinator","AeroFS","","seed","2010-08-20","Details",""
"7",6,"Y Combinator","Docker","800,000","angel","2011-02-28","Details","Exited"
"8",7,"Y Combinator","HelloChair","874,999","venture","2010-04-12","Details","Dead"
"9",8,"Y Combinator","CardPool","","seed","2010-01-01","Details","Exited"
"10",9,"Y Combinator","Tipjoy","1,000,000","angel","2008-09-24","Details","Dead"
"11",10,"Y Combinator","1000Memories","2,520,000","venture","2011-02-16","Details","Exited"
"12",11,"Techstars","Take Comics","1,200,000","venture","2010-01-04","Details","Exited"
"13",12,"Y Combinator","Omnisio","","seed","2008-01-01","Details","Exited"
"14",13,"Y Combinator","Embedly","450,000","seed","2011-06-09","Details","Exited"
"15",14,"Y Combinator","RescueTime","900,000","venture","2008-09-01","Details",""
