"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","Remix","2,000,000","seed","2014-12-01","Details",NA
"2",1,"John S. and James L. Knight Foundation","Captricity","","undisclosed","2012-09-24","Details",""
"3",2,"Atlas Venture","Captricity","10,000,000","venture","2014-07-15","Details",""
"4",3,"Blue Haven Initiative","SmartProcure","","venture","2014-12-06","Details",""
"5",4,"Social Capital","Captricity","10,000,000","venture","2014-07-15","Details",""
"6",5,"Social Capital","Captricity","2,400,000","venture","2013-04-01","Details",""
"7",6,"Motorola Solutions","SeamlessDocs","7,000,000","venture","2016-05-23","Details",""
"8",7,"On Grid Ventures","SeamlessDocs","425,000","seed","2012-06-27","Details",""
"9",8,"Entrepreneurs Roundtable Accelerator","SeamlessDocs","25,000","seed","2012-06-04","Details",""
"10",9,"Dundee Venture Capital","mindmixer","1,900,000","venture","2012-04-04","Details",""
"11",10,"Dundee Venture Capital","mindmixer","300,000","seed","2011-03-01","Details",""
"12",11,"Govtech Fund","mindmixer","17,000,000","venture","2014-09-02","Details",""
"13",12,"John S. and James L. Knight Foundation","Captricity","2,400,000","venture","2013-04-01","Details",""
"14",13,"Govtech Fund","SeamlessDocs","7,000,000","venture","2016-05-23","Details",""
"15",14,"Govtech Fund","SeamlessDocs","5,000,000","venture","2015-12-04","Details",""
"16",15,"Imagine K12","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"17",16,"Philip Fung","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"18",17,"Luke Shepard","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"19",18,"Andreessen Horowitz","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"20",19,"Urban.Us","SeamlessDocs","1,000,000","seed","2013-07-01","Details",""
"21",20,"Formation 8","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"22",21,"Lighter Capital","OpenCounter","300,000","debt_financing","2016-12-20","Details",""
"23",22,"Dundee Venture Capital","mindmixer","4,000,000","venture","2013-05-01","Details",""
"24",23,"Govtech Fund","SmartProcure","","venture","2014-12-06","Details",""
"25",24,"Social Capital","Captricity","4,500,000","venture","2013-05-31","Details",""
"26",25,"Social Capital","Captricity","35,000,000","venture","2016-01-19","Details",""
"27",26,"White Mountains Insurance Group","Captricity","35,000,000","venture","2016-01-19","Details",""
"28",27,"NC IDEA","ArchiveSocial","41,000","grant","2012-06-01","Details",""
"29",28,"Nelnet","mindmixer","4,000,000","venture","2013-05-01","Details",""
"30",29,"Dundee Venture Capital","mindmixer","17,000,000","venture","2014-09-02","Details",""
"31",30,"Optimas Group","mindmixer","4,000,000","venture","2013-05-01","Details",""
"32",31,"1776 Ventures","SeamlessDocs","2,000,000","venture","2015-02-19","Details",""
"33",32,"500 Startups","ProductBIO","100,000","seed","2014-08-01","Details",""
"34",33,"e.Republic Ventures","ArchiveSocial","1,039,981","seed","2015-08-27","Details",""
"35",34,"Chasella","SeamlessDocs","2,000,000","venture","2015-02-19","Details",""
"36",35,"Samsung Ventures","LearnSprout","4,200,000","venture","2014-05-13","Details","Exited"
"37",36,"Silicon Badia","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"38",37,"Benjamin Ling","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"39",38,"MassChallenge","recovers","50,000","seed","2012-10-23","Details",""
"40",39,"New York State Innovation Fund","SeamlessDocs","7,000,000","venture","2016-05-23","Details",""
"41",40,"Texas Venture Labs","Aunt Bertha","1,000,000","non_equity_assistance","2013-12-31","Details",""
"42",41,"Social Capital","Captricity","","undisclosed","2011-10-01","Details",""
"43",42,"The Startup Factory","ArchiveSocial","50,000","seed","2012-03-01","Details",""
"44",43,"1776 Ventures","SeamlessDocs","1,000,000","seed","2013-07-01","Details",""
"45",44,"Urban.Us","SeamlessDocs","1,435,000","convertible_note","2014-09-21","Details",""
"46",45,"Justin Tan","LearnSprout","4,200,000","venture","2014-05-13","Details","Exited"
"47",46,"1776 Ventures","SeamlessDocs","7,000,000","venture","2016-05-23","Details",""
"48",47,"SoundBoard Angel Fund","SeamlessDocs","1,435,000","convertible_note","2014-09-21","Details",""
"49",48,"SoundBoard Angel Fund","SeamlessDocs","1,000,000","seed","2013-07-01","Details",""
"50",49,"Kernel Capital","SeamlessDocs","1,000,000","seed","2013-07-01","Details",""
"51",50,"Kernel Capital","SeamlessDocs","425,000","seed","2012-06-27","Details",""
"52",51,"Kernel Capital","SeamlessDocs","1,435,000","convertible_note","2014-09-21","Details",""
"53",52,"Chamath Palihapitiya","Captricity","4,500,000","venture","2013-05-31","Details",""
"54",53,"Techstars Ventures","Aunt Bertha","5,000,000","venture","2016-06-07","Details",""
"55",54,"1776 Ventures","SeamlessDocs","1,435,000","convertible_note","2014-09-21","Details",""
"56",55,"Formation 8","LearnSprout","4,200,000","venture","2014-05-13","Details","Exited"
