"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Tim Draper","Vuru","1,000,000","seed","2015-04-29","Details",""
"2",2,"Naval Ravikant","ooomf","2,100,000","undisclosed","2014-04-10","Details",""
"3",3,"BOLDstart Ventures","ooomf","2,100,000","undisclosed","2014-04-10","Details",""
"4",4,"Real Ventures","Seevibes","1,000,000","seed","2014-05-26","Details",""
"5",5,"FounderFuel","LiveRides","27,000","seed","2012-05-01","Details",""
"6",6,"BDC Capital","GradeSlam","1,600,000","seed","2016-08-25","Details",""
"7",7,"FounderFuel","Swift Identity","50,000","seed","2013-04-15","Details",""
"8",8,"Ian Jeffrey","Seevibes","200,000","seed","2012-02-28","Details",""
"9",9,"FounderFuel","Binder","50,000","seed","2014-12-01","Details",""
"10",10,"FounderFuel","Appifier","325,000","seed","2012-05-23","Details","Exited"
"11",11,"BDC Venture Capital","The Transit App","2,400,000","seed","2015-12-23","Details",""
"12",12,"Real Ventures","CrowdMedia","150,000","convertible_note","2013-07-01","Details",""
"13",13,"FounderFuel","International Gaming League","22,000","seed","2012-12-01","Details",""
"14",14,"FounderFuel","Shoparound","22,000","seed","2012-05-01","Details",""
"15",15,"FounderFuel","Seevibes","200,000","seed","2012-02-28","Details",""
"16",16,"Real Ventures","Notesolution","1,600,000","venture","2013-10-21","Details",""
"17",17,"FounderFuel","OpenCare","1,500,000","seed","2013-08-29","Details",""
"18",18,"Real Ventures","Login Radius","1,300,000","venture","2014-02-12","Details",""
"19",19,"RBC Generator Fund","Binder","50,000","seed","2014-12-01","Details",""
"20",20,"FundersClub","Oohlala","120,000","seed","2016-08-24","Details",""
"21",21,"FounderFuel","Now In Store","50,000","seed","2013-04-15","Details",""
"22",22,"NXTP Labs","Urbita","25,000","seed","2012-03-01","Details","Dead"
"23",23,"Thayer Ventures","Flatbook","10,000,000","venture","2016-09-21","Details",""
"24",24,"BOLDstart Ventures","ooomf","2,100,000","seed","2013-12-17","Details",""
"25",25,"FounderFuel","Listn","500,000","seed","2013-11-05","Details",""
"26",26,"Real Ventures","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"27",27,"Real Ventures","Sharethebus","1,500,000","venture","2016-02-18","Details",""
"28",28,"Y Combinator","Oohlala","120,000","seed","2016-08-24","Details",""
"29",29,"FundersClub","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"30",30,"BDC Venture Capital","Login Radius","1,300,000","venture","2014-02-12","Details",""
"31",31,"FounderFuel","PayPhoneApp","22,000","seed","2012-05-01","Details",""
"32",32,"Birchmere Ventures","GradeSlam","1,600,000","seed","2016-08-25","Details",""
"33",33,"Alan MacIntosh","Seevibes","200,000","seed","2012-02-28","Details",""
"34",34,"Spark Capital","Flatbook","10,000,000","venture","2016-09-21","Details",""
"35",35,"Real Ventures","OpenCare","1,500,000","seed","2013-08-29","Details",""
"36",36,"Real Ventures","Oohlala","","seed","2012-03-09","Details",""
"37",37,"VTF Capital (fka VegasTechFund)","Zora","250,000","venture","2015-09-10","Details",""
"38",38,"FounderFuel","Mosaic","1,500,000","seed","2016-08-14","Details",""
"39",39,"Simon Whitfield","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"40",40,"BDC Venture Capital","CrowdMedia","150,000","convertible_note","2013-07-01","Details",""
"41",41,"Launchpad LA","Listn","500,000","seed","2013-11-05","Details",""
"42",42,"Real Ventures","CrowdMedia","200,000","seed","2014-09-15","Details",""
"43",43,"FounderFuel","Login Radius","1,300,000","venture","2014-02-12","Details",""
"44",44,"BMW i Ventures","Sharethebus","5,000,000","venture","2017-04-05","Details",""
"45",45,"Accel","The Transit App","2,400,000","seed","2015-12-23","Details",""
"46",46,"Maple Leaf Angels","Sharethebus","750,000","seed","2015-08-24","Details",""
"47",47,"FounderFuel","MyCustomizer","50,000","seed","2012-12-01","Details",""
"48",48,"FounderFuel","TattooHero","50,000","seed","2014-04-01","Details",""
"49",49,"FounderFuel","Mejuri","50,000","seed","2014-12-01","Details",""
"50",50,"Polytech Ventures","Seevibes","1,000,000","seed","2014-05-26","Details",""
"51",51,"FounderFuel","Openera","250,000","seed","2012-12-07","Details","Exited"
"52",52,"FounderFuel","Instagrad","50,000","seed","2013-07-01","Details",""
"53",53,"BDC Venture Capital","MyCustomizer","250,000","convertible_note","2012-11-01","Details",""
"54",54,"Real Ventures","Listn","500,000","seed","2013-11-05","Details",""
"55",55,"Real Ventures","Playerize","1,000,000","venture","2012-01-04","Details","Exited"
"56",56,"Innovacorp","PACTA","300,000","undisclosed","2015-09-15","Details",""
"57",57,"iNovia Capital","ooomf","2,100,000","undisclosed","2014-04-10","Details",""
"58",58,"Real Ventures","Seevibes","200,000","seed","2012-02-28","Details",""
"59",59,"Scott Lake","Guides","500,000","seed","2014-04-24","Details",""
"60",60,"Real Ventures","Oohlala","4,000,000","venture","2017-01-25","Details",""
"61",61,"Osman Rashid","Oohlala","4,000,000","venture","2017-01-25","Details",""
"62",62,"FounderFuel","Vain Pursuits","50,000","seed","2014-04-01","Details",""
"63",63,"Y Combinator","Sharethebus","120,000","seed","2015-11-21","Details",""
"64",64,"BDC IT Venture Fund","Flatbook","10,000,000","venture","2016-09-21","Details",""
"65",65,"BDC IT Venture Fund","Flatbook","32,000,000","venture","2017-03-15","Details",""
"66",66,"Philip A. Cutler","GradeSlam","1,600,000","seed","2016-08-25","Details",""
"67",67,"China Canada Angel Alliance","Mosaic","1,500,000","seed","2016-08-14","Details",""
"68",68,"FounderFuel","PlayerTakesAll","22,000","seed","2011-08-01","Details","Dead"
"69",69,"Yaletown Partners","Login Radius","1,300,000","venture","2014-02-12","Details",""
"70",70,"FounderFuel","Vanhawks","","undisclosed","2014-03-01","Details","Exited"
"71",71,"Accelerate Ventures","Login Radius","1,300,000","venture","2014-02-12","Details",""
"72",72,"FundersClub","Oohlala","4,000,000","venture","2017-01-25","Details",""
"73",73,"Real Ventures","The Transit App","2,400,000","seed","2015-12-23","Details",""
"74",74,"Accomplice","The Transit App","2,400,000","seed","2015-12-23","Details",""
"75",75,"Southern Ontario Angel Network","Mosaic","1,500,000","seed","2016-08-14","Details",""
"76",76,"BDC Venture Capital","Flatbook","10,000,000","venture","2016-09-21","Details",""
"77",77,"BDC Venture Capital","Flatbook","32,000,000","venture","2017-03-15","Details",""
"78",78,"Y Combinator","Oohlala","4,000,000","venture","2017-01-25","Details",""
"79",79,"Jackson Square Ventures","Sharethebus","5,000,000","venture","2017-04-05","Details",""
"80",80,"Eric Green","Login Radius","1,337,501","seed","2016-09-02","Details",""
"81",81,"Yaletown Ventures","Login Radius","1,337,501","seed","2016-09-02","Details",""
"82",82,"BDC IT Venture Fund","Flatbook","","debt_financing","2015-02-01","Details",""
"83",83,"Brenda Irwin","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"84",84,"FounderFuel","Kiwi Wearables","50,000","seed","2014-04-01","Details",""
"85",85,"Accelerate Ventures","Login Radius","1,337,501","seed","2016-09-02","Details",""
"86",86,"BDC Venture Capital","Login Radius","1,337,501","seed","2016-09-02","Details",""
"87",87,"Joel Auge","Seevibes","200,000","seed","2012-02-28","Details",""
"88",88,"Joe Montana","Oohlala","4,000,000","venture","2017-01-25","Details",""
"89",89,"Accomplice","The Transit App","2,400,000","seed","2016-09-21","Details",""
"90",90,"Y Combinator","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"91",91,"Accel","The Transit App","2,400,000","seed","2016-09-21","Details",""
"92",92,"Real Ventures","Flatbook","32,000,000","venture","2017-03-15","Details",""
"93",93,"Graph Ventures","OpenCare","1,500,000","seed","2013-08-29","Details",""
"94",94,"Ontario Centres of Excellence","Mosaic","1,500,000","seed","2016-08-14","Details",""
"95",95,"Microsoft Accelerator Seattle","Login Radius","","non_equity_assistance","2016-12-16","Details",""
"96",96,"Bryan Freeman","Seevibes","1,000,000","seed","2014-05-26","Details",""
"97",97,"GoAhead Ventures","Oohlala","4,000,000","venture","2017-01-25","Details",""
"98",98,"Real Ventures","GradeSlam","1,600,000","seed","2016-08-25","Details",""
"99",99,"Anges Quebec","GradeSlam","1,600,000","seed","2016-08-25","Details",""
"100",100,"Business Development Bank of Canada","Mosaic","1,500,000","seed","2016-08-14","Details",""
"101",101,"Thayer Ventures","Flatbook","32,000,000","venture","2017-03-15","Details",""
"102",102,"Accelerate Fund","Login Radius","1,300,000","venture","2014-02-12","Details",""
"103",103,"Techstars","Mosaic","1,500,000","seed","2016-08-14","Details",""
"104",104,"Hedgewood","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"105",105,"Real Ventures","ooomf","500,000","seed","2012-09-05","Details",""
"106",106,"Andrew Levy","Oohlala","4,000,000","venture","2017-01-25","Details",""
"107",107,"Real Ventures","The Transit App","2,400,000","seed","2016-09-21","Details",""
"108",108,"Plug & Play Ventures","Second Funnel","","seed","2012-10-01","Details",""
"109",109,"FounderFuel","Flatbook","","seed","2014-01-01","Details",""
"110",110,"Real Ventures","Login Radius","1,337,501","seed","2016-09-02","Details",""
"111",111,"FounderFuel","Second Funnel","","seed","2012-10-01","Details",""
"112",112,"VTF Capital (fka VegasTechFund)","Zora","25,000","convertible_note","2015-04-07","Details",""
"113",113,"FounderFuel","Xpertsea","1,250,000","seed","2015-05-08","Details",""
"114",114,"Real Ventures","Flatbook","10,000,000","venture","2016-09-21","Details",""
"115",115,"Spark Capital","Flatbook","32,000,000","venture","2017-03-15","Details",""
"116",116,"FounderFuel","Truth","50,000","seed","2014-04-01","Details","Exited"
"117",117,"University Ventures","Oohlala","4,000,000","venture","2017-01-25","Details",""
"118",118,"FounderFuel","DoBundle","50,000","seed","2014-04-01","Details",""
"119",119,"FounderFuel","Oohlala","","seed","2012-03-09","Details",""
"120",120,"RadicApps","MotorLeaf","","seed","2016-02-15","Details",""
"121",121,"Real Ventures","PACTA","300,000","undisclosed","2015-09-15","Details",""
"122",122,"Real Ventures","ooomf","2,100,000","undisclosed","2014-04-10","Details",""
"123",123,"Naveen Jain","Vuru","1,000,000","seed","2015-04-29","Details",""
"124",124,"Real Ventures","MotorLeaf","100,000","angel","2016-05-27","Details",""
"125",125,"FounderFuel","CrowdMedia","50,000","seed","2013-04-01","Details",""
"126",126,"FounderFuel","Seamless Planet","50,000","seed","2014-12-01","Details",""
"127",127,"FounderFuel","Urbita","650,000","seed","2013-01-01","Details","Dead"
"128",128,"Prolific Venture Capital","Openera","250,000","seed","2012-12-07","Details","Exited"
"129",129,"FounderFuel","Wavo","","seed","2012-12-23","Details",""
"130",130,"BDC Venture Capital","PACTA","300,000","undisclosed","2015-09-15","Details",""
"131",131,"BDC Venture Capital","The Transit App","2,400,000","seed","2016-09-21","Details",""
"132",132,"BDC Venture Capital","Openera","250,000","seed","2012-12-07","Details","Exited"
"133",133,"FounderFuel","ReelyActive","22,000","seed","2012-12-01","Details",""
"134",134,"Real Ventures","Urbita","650,000","seed","2013-01-01","Details","Dead"
"135",135,"SAIF Partners","Notesolution","1,600,000","venture","2013-10-21","Details",""
"136",136,"FounderFuel","Epilogger","50,000","seed","2012-05-01","Details",""
"137",137,"Real Ventures","ooomf","2,100,000","seed","2013-12-17","Details",""
"138",138,"FundersClub","Vanhawks","","undisclosed","2014-03-01","Details","Exited"
"139",139,"FounderFuel","Redtree Robotics","104,000","seed","2014-09-01","Details",""
"140",140,"Fred Destin","ooomf","2,100,000","undisclosed","2014-04-10","Details",""
"141",141,"FounderFuel","Playerize","1,000,000","venture","2012-01-04","Details","Exited"
"142",142,"Real Ventures","Wavo","","seed","2012-12-23","Details",""
"143",143,"Atlas Venture","ooomf","2,100,000","seed","2013-12-17","Details",""
"144",144,"FounderFuel","Sharethebus","50,000","seed","2015-05-07","Details",""
"145",145,"FounderFuel","Vuru","1,000,000","seed","2015-04-29","Details",""
"146",146,"Audry Larocque","Seevibes","200,000","seed","2012-02-28","Details",""
"147",147,"Bryan Freeman","Seevibes","200,000","seed","2012-02-28","Details",""
"148",148,"Sony Mordechai","Vuru","1,000,000","seed","2015-04-29","Details",""
"149",149,"BDC Venture Capital","Listn","500,000","seed","2013-11-05","Details",""
"150",150,"Plug & Play Ventures","Second Funnel","","convertible_note","2013-10-22","Details",""
"151",151,"BDC Venture Capital","ooomf","500,000","seed","2012-09-05","Details",""
