"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"GameFounders","Yellow Monkey Studios","10,000","seed","2013-02-01","Details",NA
"2",2,"GameFounders","Baila","10,000","seed","2012-08-01","Details",NA
"3",3,"GameFounders","Time Plus Q","15,000","seed","2013-02-01","Details",NA
"4",4,"GameFounders","Stormbringer Studios","15,000","seed","2013-08-01","Details",NA
"5",5,"GameFounders","Redbee","12,500","seed","2013-08-01","Details",NA
"6",6,"GameFounders","Tiny Lab Productions","15,000","seed","2013-02-01","Details",NA
"7",7,"GameFounders","Dev9k Games","15,000","seed","2013-03-01","Details",NA
"8",8,"GameFounders","Colto","10,000","seed","2013-02-01","Details",NA
"9",9,"GameFounders","Bad Seed","15,000","seed","2012-10-01","Details",NA
"10",10,"GameFounders","Retora Black","15,000","seed","2013-08-01","Details",NA
"11",11,"Mind the Bridge","Bad Seed","","seed","2013-03-01","Details",NA
"12",12,"GameFounders","X3M Games","15,000","seed","2013-02-01","Details",NA
"13",13,"GameFounders","Cute Attack","10,000","seed","2013-08-01","Details",NA
"14",14,"GameFounders","Mind on Games","10,000","seed","2012-08-01","Details",NA
"15",15,"United Ventures","Bad Seed","250,000","seed","2014-07-16","Details",NA
"16",16,"GameFounders","Blackbambooz Studio","15,000","seed","2013-08-01","Details",NA
"17",17,"GameFounders","Fraktalia Studios","15,000","seed","2013-08-01","Details",NA
"18",18,"GameFounders","Glowforth","10,000","seed","2012-08-01","Details",NA
"19",19,"GameFounders","Appevo Studio","12,500","seed","2013-08-01","Details",NA
