"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"AngelPad","Pict (was Dro.pt)","1,400,000","seed","2013-04-26","Details","Exited"
"2",2,"Y Combinator","Partnered","850,000","seed","2014-07-01","Details",""
"3",3,"Y Combinator","Rapportive","1,000,000","seed","2010-08-02","Details","Exited"
"4",4,"500startups","Forrst","205,000","seed","2011-03-24","Details","Exited"
"5",5,"DreamIT Ventures","Adapt.ly","2,000,000","venture","2011-04-18","Details",""
"6",6,"Y Combinator","Bloomthat","2,100,000","seed","2014-02-06","Details",""
"7",1,"Boost VC","Airenvy","13,500,000","venture","2017-06-21","Details",NA
"8",2,"i/o ventures","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",NA
"9",3,"Y Combinator","Anyperk","11,500,000","venture","2016-09-28","Details",NA
"10",4,"Y Combinator","Anyperk","3,000,000","seed","2014-06-23","Details",NA
