"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Global Insurance Accelerator","Smart Drivinc","40,000","seed","2016-02-10","Details",NA
"2",2,"Techstars","Drive Spotter","40,000","seed","2015-04-01","Details",NA
"3",3,"Global Insurance Accelerator","ClinicNote","40,000","seed","2015-04-01","Details",NA
"4",4,"Global Insurance Accelerator","Drive Spotter","40,000","seed","2015-04-01","Details",NA
"5",5,"Global Insurance Accelerator","WeSavvy","40,000","seed","2016-02-10","Details",NA
"6",6,"Global Insurance Accelerator","LifeDB","40,000","seed","2015-04-01","Details",NA
"7",7,"The Alchemist Accelerator","Tyche","40,000","seed","2015-04-01","Details",NA
"8",8,"Global Insurance Accelerator","Fluttrbox","40,000","seed","2016-02-10","Details",NA
"9",9,"Global Insurance Accelerator","Isaac Re","40,000","seed","2016-02-10","Details",NA
"10",10,"Global Insurance Accelerator","Telematic","40,000","seed","2016-02-10","Details",NA
"11",11,"Global Insurance Accelerator","CityMile","40,000","seed","2015-04-01","Details",NA
"12",12,"Global Insurance Accelerator","Insurance Social.Media","40,000","seed","2016-02-10","Details",NA
"13",13,"Global Insurance Accelerator","Tyche","40,000","seed","2015-04-01","Details",NA
"14",1,"Global Insurance Accelerator","Smart Drivinc","40,000","seed","2016-02-10","Details",NA
"15",2,"Alchemist Accelerator","Tyche","28,000","seed","2014-02-19","Details",NA
"16",3,"Global Insurance Accelerator","ClinicNote","40,000","seed","2015-04-01","Details",NA
"17",4,"Global Insurance Accelerator","Drive Spotter","40,000","seed","2015-04-01","Details",NA
"18",5,"Global Insurance Accelerator","WeSavvy","40,000","seed","2016-02-10","Details",NA
"19",6,"Global Insurance Accelerator","LifeDB","40,000","seed","2015-04-01","Details",NA
"20",7,"Invest Nebraska","Drive Spotter","500,000","convertible_note","2017-04-14","Details",NA
"21",8,"Global Insurance Accelerator","Fluttrbox","40,000","seed","2016-02-10","Details",NA
"22",9,"Global Insurance Accelerator","Isaac Re","40,000","seed","2016-02-10","Details",NA
"23",10,"Global Insurance Accelerator","Telematic","40,000","seed","2016-02-10","Details",NA
"24",11,"VTF Capital (fka VegasTechFund)","Fluttrbox","40,000","seed","2016-02-10","Details",NA
"25",12,"Right Side Capital Management","Drive Spotter","100,000","convertible_note","2016-06-17","Details",NA
"26",13,"Global Insurance Accelerator","CityMile","40,000","seed","2015-04-01","Details",NA
"27",14,"Grinnell Mutual Reinsurance","Drive Spotter","750,000","seed","2016-03-09","Details",NA
"28",15,"Global Insurance Accelerator","Insurance Social.Media","40,000","seed","2016-02-10","Details",NA
"29",16,"Grinnell Mutual Reinsurance","Drive Spotter","500,000","convertible_note","2017-04-14","Details",NA
"30",17,"Global Insurance Accelerator","Tyche","40,000","seed","2015-04-01","Details",NA
