"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"HAXLR8R","WearPoint","25,000","seed","2013-01-01","Details",""
"2",2,"HAXLR8R","Roadie Tuner","25,000","seed","2014-05-12","Details",""
"3",3,"HAXLR8R","Loccie","25,000","venture","2012-02-01","Details",""
"4",4,"HAXLR8R","Everpurse","1,000,000","seed","2014-05-18","Details",""
"5",5,"HAXLR8R","Shaka","25,000","venture","2012-02-01","Details",""
"6",6,"HAXLR8R","PortableScores","25,000","venture","2012-02-01","Details",""
"7",7,"HAXLR8R","Vibease","25,000","seed","2013-02-01","Details",""
"8",8,"HAXLR8R","Focus","25,000","seed","2013-05-12","Details",""
"9",9,"HAXLR8R","Nomiku","25,000","venture","2012-02-01","Details",""
"10",10,"HAXLR8R","Sassor","25,000","venture","2012-02-01","Details",""
"11",11,"LaunchpadLA","Melon","25,000","venture","2012-02-01","Details","Exited"
"12",12,"HAXLR8R","Blinkiverse","25,000","seed","2013-05-12","Details",""
"13",13,"HAXLR8R","Hex","25,000","seed","2013-05-12","Details",""
"14",14,"HAXLR8R","Everpurse","25,000","seed","2013-01-01","Details",""
"15",1,"SOSV","Quitbit","105,000","seed","2014-01-08","Details",NA
"16",2,"Amino Capital","Darma","","venture","2014-09-22","Details",NA
"17",3,"SOSV","Yeelink","","seed","2013-08-31","Details",NA
"18",4,"SOSV","Rational Robotics","","convertible_note","2015-01-13","Details",NA
"19",5,"Hax","Yeelink","25,000","venture","2013-01-17","Details",NA
"20",6,"Hax","Helios","","seed","2015-02-27","Details",NA
"21",7,"SOSV","Rational Robotics","","venture","2013-11-12","Details",NA
"22",8,"HAXLR8R","WearPoint","25,000","seed","2013-01-01","Details",NA
"23",9,"Y Combinator","Nomiku","120,000","seed","2014-12-01","Details",NA
"24",10,"HAXLR8R","Roadie Tuner","25,000","seed","2014-05-12","Details",NA
"25",11,"HAXLR8R","Loccie","25,000","venture","2012-02-01","Details",NA
"26",12,"SOSV","Helios","","venture","2015-09-25","Details",NA
"27",13,"Betaspring","Quitbit","20,000","seed","2013-11-01","Details",NA
"28",14,"HAXLR8R","Everpurse","1,000,000","seed","2014-05-18","Details",NA
"29",15,"Hax","Molecule Synth","70,000","venture","2013-01-31","Details",NA
"30",16,"Sequoia Capital","Makeblock","6,000,000","venture","2014-12-31","Details",NA
"31",17,"Seven Peaks Ventures","Kindara","5,300,000","seed","2015-08-19","Details",NA
"32",18,"Drummond Road Capital","Kindara","1,250,000","venture","2014-11-04","Details",NA
"33",19,"Vast Ventures","Kindara","1,250,000","venture","2014-11-04","Details",NA
"34",20,"SOSV","Makeblock","","venture","2015-09-20","Details",NA
"35",21,"SOSV","Makeblock","","seed","2013-09-30","Details",NA
"36",22,"SOSV","Kindara","5,300,000","seed","2015-08-19","Details",NA
"37",23,"SOSV","Kindara","350,000","convertible_note","2012-10-01","Details",NA
"38",24,"Service Provider Capital","Kindara","5,300,000","seed","2015-08-19","Details",NA
"39",25,"SOSV","Vigo","25,000","seed","2013-07-16","Details",NA
"40",26,"SOSV","Kindara","1,250,000","venture","2014-11-04","Details",NA
"41",27,"SOSV","Nomiku","","venture","2012-12-19","Details",NA
"42",28,"SOSV","Syrmo","","seed","2013-12-20","Details",NA
"43",29,"SOSV","LightUp","","venture","2013-02-01","Details",NA
"44",30,"Hax","Avidbots","25,000","seed","2014-05-12","Details",NA
"45",31,"SOSV","Dustcloud","30,000","seed","2014-03-07","Details",NA
"46",32,"SOSV","Syrmo","","venture","2015-05-12","Details",NA
"47",33,"Hax","Quitbit","50,000","seed","2014-01-23","Details",NA
"48",34,"SOSV","Vibease","","seed","2014-08-01","Details",NA
"49",35,"Samurai Incubate","Sassor","","seed","2010-10-02","Details",NA
"50",36,"SOSV","Shot Stats","","venture","2015-06-11","Details",NA
"51",37,"SOSV","Quitbit","50,000","seed","2014-01-23","Details",NA
"52",38,"Hax","Kindara","","seed","2016-11-03","Details",NA
"53",39,"Boston Seed Capital","Kindara","1,000,000","seed","2016-07-07","Details",NA
"54",40,"PV Ventures","Kindara","5,300,000","seed","2015-08-19","Details",NA
"55",41,"AIA Konica Minolta Digital Health Accelerator","Darma","","non_equity_assistance","2016-02-29","Details",NA
"56",42,"Hax","Niwa","50,000","seed","2014-01-08","Details",NA
"57",43,"62 Mile Ventures","Kindara","5,300,000","seed","2015-08-19","Details",NA
"58",44,"Hax","Notch","25,000","seed","2013-01-01","Details",NA
"59",45,"SOSV","Kindara","","seed","2016-11-03","Details",NA
"60",46,"FG Angels","Kindara","5,300,000","seed","2015-08-19","Details",NA
"61",47,"MVI (MENA Venture Investments)","Kindara","1,250,000","venture","2014-11-04","Details",NA
"62",48,"Crowdcube","Niwa","216,280","equity_crowdfunding","2016-12-29","Details",NA
"63",49,"HAXLR8R","Shaka","25,000","venture","2012-02-01","Details",NA
"64",50,"HAXLR8R","PortableScores","25,000","venture","2012-02-01","Details",NA
