"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"500startups","BetterView","1,550,000","seed","2016-02-23","Details",NA
"2",1,"Y Combinator","Payable","2,100,000","seed","2015-08-05","Details","Exited"
"3",1,"Y Combinator","WorkRamp","1,800,000","seed","2016-12-01","Details",""
"4",2,"Y Combinator","DoorDash","2,400,000","angel","2013-09-30","Details",""
"5",3,"Y Combinator","Pluot","2,500,000","venture","2016-08-02","Details",""
"6",4,"Y Combinator","People.ai","120,000","seed","2016-08-24","Details",""
"7",5,"AngelPad","Simplifeye","3,000,000","venture","2017-03-09","Details",""
"8",6,"Y Combinator","Payable","2,100,000","seed","2015-08-05","Details","Exited"
"9",7,"Boost VC","BlockScore","2,000,000","seed","2014-06-25","Details",""
"10",8,"Y Combinator","Protocol Labs","3,000,000","venture","2016-03-24","Details",""
"11",9,"Y Combinator","VIVE","2,300,000","seed","2016-02-16","Details",""
