"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Highway1","Dot Dash Pay","","convertible_note","2015-07-31","Details",""
"2",2,"The Alchemist Accelerator","Cloudastructure","750,000","convertible_note","2016-08-01","Details",""
"3",3,"Techstars","CoolChip Technologies","","convertible_note","2015-09-02","Details",""
"4",4,"Y Combinator","Magic Instruments","75,000","seed","2015-08-03","Details",""
"5",5,"Highway1","Cocoon Cam","","seed","2016-02-08","Details",""
"6",6,"The Alchemist Accelerator","Pubinno","185,000","convertible_note","2017-02-06","Details",""
"7",7,"buildit","Comfee","50,000","convertible_note","2015-09-30","Details",""
"8",8,"Techstars","Jewelbots","100,000","convertible_note","2015-09-24","Details",""
"9",9,"Y Combinator","Cinder","","convertible_note","2014-02-14","Details",""
"10",10,"Highway1","Compression Kinetics","","convertible_note","2015-08-03","Details",""
"11",11,"Boost VC","Alphalem","","convertible_note","2015-07-29","Details","Dead"
"12",12,"Y Combinator","MashGin","","convertible_note","2015-09-02","Details",""
"13",1,"Highway1","Dot Dash Pay","","convertible_note","2015-07-31","Details",NA
"14",2,"SkyDeck | Berkeley","Cocoon Cam","","non_equity_assistance","2016-06-01","Details",NA
"15",3,"Angel Investors Network","Cocoon Cam","4,000,000","venture","2017-06-28","Details",NA
"16",4,"Highway1","Cocoon Cam","","seed","2016-02-08","Details",NA
"17",5,"Pejman Mar Ventures","Dot Dash Pay","250,000","non_equity_assistance","2015-12-18","Details",NA
"18",6,"Comet Labs","Dot Dash Pay","","convertible_note","2016-01-01","Details",NA
"19",7,"Happiness Ventures","Cocoon Cam","4,000,000","venture","2017-06-28","Details",NA
