"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"InnoSpring","Accusilicon","","seed","2012-04-22","Details",NA
"2",2,"InnoSpring","DewMobile","","seed","2012-04-22","Details",NA
"3",3,"Techstars","GymPact","850,000","seed","2012-06-28","Details",NA
"4",1,"InnoSpring","Accusilicon","","seed","2012-04-22","Details",NA
"5",2,"TEEC Angel Fund","Accusilicon","","seed","2012-04-22","Details",NA
"6",3,"InnoSpring","DewMobile","","seed","2012-04-22","Details",NA
"7",4,"Northern Light Venture Capital","DewMobile","20,000,000","venture","2014-06-06","Details",NA
"8",5,"Innovation Works","DewMobile","20,000,000","venture","2014-06-06","Details",NA
"9",6,"TEEC Angel Fund","DewMobile","","seed","2012-04-22","Details",NA
"10",7,"Accelerace","WeaverMobile","500,000","seed","2011-09-05","Details",NA
"11",8,"IDG Capital Partners","DewMobile","20,000,000","venture","2014-06-06","Details",NA
