"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Iowa Startup Accelerator","Vinveli","20,000","seed","2014-08-05","Details",NA
"2",2,"Iowa Startup Accelerator","ProduceRun","20,000","seed","2014-08-05","Details",NA
"3",3,"Iowa Startup Accelerator","Sift","20,000","seed","2014-08-05","Details",NA
"4",4,"Iowa Startup Accelerator","Punctil","20,000","seed","2014-08-05","Details",NA
"5",5,"Y Combinator","LendEDU","20,000","seed","2014-08-05","Details",NA
"6",6,"Iowa Startup Accelerator","Venuefox","20,000","seed","2014-08-05","Details",NA
"7",7,"Iowa Startup Accelerator","Kids Calendar","20,000","seed","2014-08-05","Details",NA
"8",8,"Iowa Startup Accelerator","LendEDU","20,000","seed","2014-08-05","Details",NA
"9",1,"Iowa Startup Accelerator","Vinveli","20,000","seed","2014-08-05","Details",NA
"10",2,"Iowa Startup Accelerator","ProduceRun","20,000","seed","2014-08-05","Details",NA
"11",3,"Iowa Startup Accelerator","Sift","20,000","seed","2014-08-05","Details",NA
"12",4,"Iowa Startup Accelerator","Punctil","20,000","seed","2014-08-05","Details",NA
"13",5,"Iowa Startup Accelerator","Venuefox","20,000","seed","2014-08-05","Details",NA
"14",6,"Iowa Startup Accelerator","Kids Calendar","20,000","seed","2014-08-05","Details",NA
"15",7,"Y Combinator","LendEDU","120,000","seed","2015-11-21","Details",NA
"16",8,"Iowa Startup Accelerator","LendEDU","20,000","seed","2014-08-05","Details",NA
"17",9,"StartUp Health","Punctil","20,000","seed","2014-08-05","Details",NA
"18",10,"Startupbootcamp","Punctil","15,000","seed","2013-01-25","Details",NA
