"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"JFDI.Asia","OurHealthMate","20,000","convertible_note","2013-02-21","Details",""
"2",2,"JFDI.Asia","TapTalents","11,700","seed","2013-08-29","Details",""
"3",3,"JFDI.Asia","OurHealthMate","25,000","seed","2013-01-29","Details",""
"4",4,"JFDI.Asia","Klinify","20,000","angel","2013-01-29","Details",""
"5",5,"JFDI.Asia","Kark Mobile Education","","seed","2012-04-04","Details",""
"6",6,"JFDI.Asia","Referoll","40,000","grant","2013-09-08","Details",""
"7",7,"JFDI.Asia","Kark Mobile Education","","seed","2012-04-04","Details",""
"8",8,"JFDI.Asia","TribeHired","","seed","2012-02-28","Details",""
"9",9,"JFDI.Asia","Wildby","","seed","2012-02-20","Details",""
"10",10,"JFDI.Asia","Healint","111,500","seed","2013-11-28","Details",""
"11",11,"JFDI.Asia","Flocations","11,500","seed","2012-03-06","Details","Exited"
"12",12,"JFDI.Asia","enMarkit","11,700","seed","2013-08-29","Details",""
"13",13,"JFDI.Asia","Collabspot","","seed","2013-02-21","Details",""
"14",14,"JFDI.Asia","ShopSpot","","seed","2012-02-16","Details",""
"15",15,"JFDI.Asia","Flocations","12,000","seed","2012-02-01","Details","Exited"
"16",1,"500startups","OurHealthMate","25,000","seed","2013-01-29","Details",NA
"17",2,"500startups","Qwikwire","335,000","seed","2016-10-03","Details",NA
"18",3,"JFDI.Asia","Qwikwire","","seed","2013-09-13","Details",NA
"19",4,"JFDI.Asia","Qwikwire","335,000","seed","2016-10-03","Details",NA
"20",5,"500startups","Qwikwire","","seed","2013-09-13","Details",NA
"21",6,"500startups","OurHealthMate","20,000","convertible_note","2013-02-21","Details",NA
"22",7,"JFDI.Asia","Vault Dragon","11,700","seed","2013-08-29","Details",NA
"23",1,"JFDI.Asia","OurHealthMate","20,000","convertible_note","2013-02-21","Details",""
"24",2,"Ben Tsai","OurHealthMate","440,000","seed","2014-01-27","Details",""
"25",3,"Jungle Ventures","Klinify","604,000","seed","2014-02-03","Details",""
"26",4,"JFDI.Asia","TapTalents","11,700","seed","2013-08-29","Details",""
"27",5,"JFDI.Asia","OurHealthMate","25,000","seed","2013-01-29","Details",""
"28",6,"JFDI.Asia","Klinify","20,000","angel","2013-01-29","Details",""
"29",7,"SingTel Innov8","ShopSpot","628,000","seed","2013-02-19","Details",""
"30",8,"Louis Nauges","Collabspot","64,000","seed","2013-10-08","Details",""
"31",9,"Leo Tech","OurHealthMate","440,000","seed","2014-01-27","Details",""
"32",10,"Rock Health","Skimbl","20,000","seed","2011-05-01","Details",""
"33",11,"Jungle Ventures","ShopSpot","628,000","seed","2013-02-19","Details",""
"34",12,"Ben Ball","Flocations","600,000","seed","2012-12-14","Details","Exited"
"35",13,"JFDI.Asia","Kark Mobile Education","","seed","2012-04-04","Details",""
"36",14,"Wavemaker Partners","Healint","1,000,000","seed","2015-03-27","Details",""
"37",15,"JFDI.Asia","Referoll","40,000","grant","2013-09-08","Details",""
"38",16,"SingTel Innov8","Flocations","600,000","seed","2012-12-14","Details","Exited"
"39",17,"Microventures","Qwikwire","335,000","seed","2016-10-03","Details",""
"40",18,"Golden Equator Capital","Vault Dragon","1,160,000","seed","2017-02-20","Details",""
"41",19,"TNF Ventures","Flocations","600,000","seed","2012-12-14","Details","Exited"
"42",20,"JFDI.Asia","Kark Mobile Education","","seed","2012-04-04","Details",""
"43",21,"JFDI.Asia","TribeHired","","seed","2012-02-28","Details",""
"44",22,"Yeo Choon Leong","Fetch Fans","580,000","seed","2012-07-10","Details",""
"45",23,"8capita Partners","Collabspot","64,000","seed","2013-10-08","Details",""
"46",24,"Leo Tech","OurHealthMate","","seed","2013-03-20","Details",""
"47",25,"JFDIA.Asia","Obatech","11,700","seed","2013-08-29","Details",""
"48",26,"Bimal Shah","OurHealthMate","440,000","seed","2014-01-27","Details",""
"49",27,"Spring Singapore","Klinify","20,000","grant","2012-05-08","Details",""
"50",28,"Ben Chew","TribeHired","560,000","seed","2013-03-25","Details",""
"51",29,"GREE Ventures","Healint","1,000,000","seed","2015-03-27","Details",""
"52",30,"JFDI.Asia","Qwikwire","","seed","2013-09-13","Details",""
"53",31,"500 Startups","Qwikwire","125,000","seed","2016-05-18","Details",""
"54",32,"Manila Angel Investors Network","Qwikwire","335,000","seed","2016-10-03","Details",""
"55",33,"Private Investors","Healint","111,500","seed","2013-11-28","Details",""
"56",34,"Joe Maristela","Qwikwire","335,000","seed","2016-10-03","Details",""
"57",35,"First Asia Venture Capital","Qwikwire","335,000","seed","2016-10-03","Details",""
"58",36,"JFDI.Asia","Qwikwire","335,000","seed","2016-10-03","Details",""
"59",37,"Shin Ryoku Trust","Healint","111,500","seed","2013-11-28","Details",""
"60",38,"JFDI.Asia","Wildby","","seed","2012-02-20","Details",""
"61",39,"JFDI.Asia","Healint","111,500","seed","2013-11-28","Details",""
"62",40,"Kevin Dewalt","Collabspot","64,000","seed","2013-10-08","Details",""
"63",41,"JFDI.Asia","Flocations","11,500","seed","2012-03-06","Details","Exited"
"64",42,"Ideosource","Kark Mobile Education","","angel","2012-04-01","Details",""
"65",43,"Laurent Gasser","Collabspot","79,000","seed","2013-05-27","Details",""
"66",44,"JFDI.Asia","enMarkit","11,700","seed","2013-08-29","Details",""
"67",45,"JFDI.Asia","Collabspot","","seed","2013-02-21","Details",""
"68",46,"Lawrence Seah","Fetch Fans","580,000","seed","2012-07-10","Details",""
"69",47,"JFDI.Asia","Vault Dragon","11,700","seed","2013-08-29","Details",""
"70",48,"Raging Bull","Vault Dragon","1,160,000","seed","2017-02-20","Details",""
"71",49,"Ben Ball","TribeHired","560,000","seed","2013-03-25","Details",""
"72",50,"Start-Up Chile","OurHealthMate","40,000","grant","2012-02-01","Details",""
"73",51,"JFDI.Asia","ShopSpot","","seed","2012-02-16","Details",""
