"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"LaunchBox Digital","MyGameMug","","seed","2008-04-01","",""
"2",2,"LaunchBox Digital","Mpowerplayer","","seed","2008-04-01","",""
"3",3,"LaunchBox Digital","ShareMeme","","seed","2008-04-01","Details",""
"4",4,"LaunchBox Digital","Zadby","","seed","2008-04-01","Details","Dead"
"5",5,"LaunchBox Digital","KeepFu","","seed","2009-04-01","Details","Dead"
"6",6,"LaunchBox Digital","Unblab","","seed","2009-04-04","Details","Exited"
"7",7,"LaunchBox Digital","JamLegend","","seed","2008-04-01","Details","Exited"
"8",8,"LaunchBox Digital","SocialCollective","20,000","seed","2009-04-18","Details","Dead"
"9",9,"LaunchBox Digital","Koofers","","seed","2008-04-01","Details",""
"10",10,"LaunchBox Digital","Slipstream","20,000","seed","2010-08-31","Details","Dead"
"11",11,"LaunchBox Digital","Razume","","seed","2008-04-01","Details",""
"12",12,"LaunchBox Digital","Legal River","","seed","2009-04-01","Details","Dead"
"13",13,"LaunchBox Digital","Spring Metrics","635,000","seed","2011-03-23","Details",""
"14",14,"LaunchBox Digital","TapMetrics","","seed","2009-04-04","Details","Exited"
"15",15,"fbFund","Koofers","","seed","2008-04-01","Details",""
"16",16,"LaunchBox Digital","Keen Guides","","seed","2009-04-01","Details",""
"17",1,"CIT GAP Funds","Mpowerplayer","2,500,000","a","2008-09-10","",""
"18",2,"New Atlantic Ventures","Mpowerplayer","2,500,000","a","2008-09-10","",""
"19",3,"LaunchBox Digital","MyGameMug","","seed","2008-04-01","",""
"20",4,"LaunchBox Digital","Mpowerplayer","","seed","2008-04-01","",""
"21",5,"Altos Ventures","Koofers","2,000,000","seed","2010-01-22","Details",""
"22",6,"LaunchBox Digital","ShareMeme","","seed","2008-04-01","Details",""
"23",7,"LaunchBox Digital","Zadby","","seed","2008-04-01","Details","Dead"
"24",8,"500 Startups","ReClip.It","70,000","seed","2012-06-01","Details","Exited"
"25",9,"MI Ventures","ReClip.It","770,000","angel","2011-06-01","Details","Exited"
"26",10,"LaunchBox Digital","KeepFu","","seed","2009-04-01","Details","Dead"
"27",11,"LaunchBox Digital","Unblab","","seed","2009-04-04","Details","Exited"
"28",12,"LaunchBox Digital","JamLegend","","seed","2008-04-01","Details","Exited"
"29",13,"LaunchBox Digital","SocialCollective","20,000","seed","2009-04-18","Details","Dead"
"30",14,"LaunchBox Digital","Koofers","","seed","2008-04-01","Details",""
"31",15,"Zelkova Ventures","Spring Metrics","635,000","seed","2011-03-23","Details",""
"32",16,"New Atlantic Ventures","Koofers","5,000,000","venture","2010-09-29","Details",""
"33",17,"fbFund","Koofers","","grant","2008-10-15","Details",""
"34",18,"Ted Rheingold","ReClip.It","70,000","seed","2012-06-01","Details","Exited"
"35",19,"Blueprint Health","Keona Health","2,585,000","venture","2014-03-31","Details",""
"36",20,"Hadi Partovi","JamLegend","2,000,000","venture","2009-12-18","Details","Exited"
"37",21,"Blueprint Health","Keona Health","20,000","seed","2013-01-01","Details",""
"38",22,"Acta Wireless","Bandsintown","","seed","2006-08-01","Details","Exited"
"39",23,"LaunchBox Digital","Slipstream","20,000","seed","2010-08-31","Details","Dead"
"40",24,"LaunchBox Digital","Razume","","seed","2008-04-01","Details",""
"41",25,"LaunchBox Digital","Legal River","","seed","2009-04-01","Details","Dead"
"42",26,"LaunchBox Digital","Spring Metrics","635,000","seed","2011-03-23","Details",""
"43",27,"New Atlantic Ventures","Koofers","2,000,000","seed","2010-01-22","Details",""
"44",28,"LaunchBox Digital","TapMetrics","","seed","2009-04-04","Details","Exited"
"45",29,"Mike Greenfield","ReClip.It","70,000","seed","2012-06-01","Details","Exited"
"46",30,"LaunchBox Digital","Keen Guides","","seed","2009-04-01","Details",""
"47",31,"Great Oaks Venture Capital","ReClip.It","770,000","angel","2011-06-01","Details","Exited"
"48",32,"Y Combinator","MarketBrief","","seed","2011-08-02","Details",""
"49",33,"QED Investors","Koofers","5,000,000","venture","2010-09-29","Details",""
"50",34,"Revolution LLC","Koofers","5,000,000","venture","2010-09-29","Details",""
"51",35,"Altos Ventures","Koofers","5,000,000","venture","2010-09-29","Details",""
