"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"LaunchHouse","Duel","25,000","seed","2012-11-26","Details","Dead"
"2",2,"LaunchHouse","Quick2LAUNCH","","seed","2012-11-01","Details",""
"3",3,"LaunchHouse","FitVia","25,000","seed","2012-11-28","Details","Dead"
"4",4,"500startups","ConceptDrop","","seed","2012-11-01","Details",""
"5",5,"Techstars","ExpenseBot","220,000","seed","2013-11-07","Details",""
"6",6,"LaunchHouse","HooftyMatch","25,000","seed","2012-12-20","Details",""
"7",1,"Murugesh Govindasamy","Gtail","400,000","seed","2015-03-01","Details",""
"8",2,"LaunchHouse","Duel","25,000","seed","2012-11-26","Details","Dead"
"9",3,"Ravi Velu","Gtail","400,000","seed","2015-03-01","Details",""
"10",4,"LaunchHouse","Quick2LAUNCH","","seed","2012-11-01","Details",""
"11",5,"Scott Moss","Gtail","400,000","seed","2015-03-01","Details",""
"12",6,"Joseph Golobitsky","Gtail","400,000","seed","2015-03-01","Details",""
"13",7,"Michael Kislansky","Gtail","400,000","seed","2015-03-01","Details",""
"14",8,"Bryce Bunker","Gtail","400,000","seed","2015-03-01","Details",""
"15",9,"Robert Pietrick","Gtail","400,000","seed","2015-03-01","Details",""
"16",10,"LaunchHouse","FitVia","25,000","seed","2012-11-28","Details","Dead"
"17",11,"LaunchHouse","HooftyMatch","25,000","seed","2012-12-20","Details",""
