"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"LearnLaunchX","Book and Table","18,000","seed","2014-02-10","Details",""
"2",2,"LearnLaunchX","Cognii","18,000","seed","2013-06-01","Details",""
"3",3,"Techstars","CareAcademy","535,000","convertible_note","2016-05-04","Details",""
"4",4,"LearnLaunchX","Listen Edition","18,000","seed","2013-06-01","Details",""
"5",5,"LearnLaunchX","countdown","18,000","seed","2013-06-01","Details",""
"6",6,"LearnLaunchX","Skaffl","18,000","seed","2014-02-10","Details","Dead"
"7",7,"LearnLaunchX","uConnect","18,000","seed","2014-02-10","Details",""
"8",8,"LearnLaunchX","Cuethink","18,000","seed","2014-02-10","Details",""
"9",9,"LearnLaunchX","eduCanon","18,000","seed","2013-06-01","Details",""
"10",10,"LearnLaunchX","empow studios","18,000","seed","2013-06-01","Details",""
"11",11,"LearnLaunchX","HSTRY","18,000","seed","2014-02-10","Details",""
"12",12,"LearnLaunchX","QuadWrangle","18,000","seed","2014-02-10","Details",""
"13",13,"LearnLaunchX","gradeable","18,000","seed","2013-06-01","Details",""
"14",14,"LearnLaunchX","Campuscene","18,000","seed","2014-02-10","Details","Dead"
"15",1,"LearnLaunchX","Book and Table","18,000","seed","2014-02-10","Details",""
"16",2,"LearnLaunchX","Cognii","18,000","seed","2013-06-01","Details",""
"17",3,"Tom Basile","QuadWrangle","152,500","angel","2014-09-01","Details",""
"18",4,"Jean Hammond","QuadWrangle","152,500","angel","2014-09-01","Details",""
"19",5,"Saleh Daher","QuadWrangle","152,500","angel","2014-09-01","Details",""
"20",6,"Conor Daly","QuadWrangle","152,500","angel","2014-09-01","Details",""
"21",7,"Bill Ryan","QuadWrangle","400,000","angel","2014-11-15","Details",""
"22",8,"LearnLaunchX","Listen Edition","18,000","seed","2013-06-01","Details",""
"23",9,"LearnLaunchX","countdown","18,000","seed","2013-06-01","Details",""
"24",10,"Bill Collatos","QuadWrangle","400,000","angel","2014-11-15","Details",""
"25",11,"James Stuart","QuadWrangle","152,500","angel","2014-09-01","Details",""
"26",12,"Maine Angels","QuadWrangle","30,000","venture","2016-04-01","Details",""
"27",13,"LearnLaunchX","Skaffl","18,000","seed","2014-02-10","Details","Dead"
"28",14,"Ben Franklin Technology Partners of Northeastern Pennsylvania","Skaffl","100,000","venture","2014-10-07","Details","Dead"
"29",15,"Conrad Kozak","QuadWrangle","400,000","angel","2014-11-15","Details",""
"30",16,"LearnLaunchX","uConnect","18,000","seed","2014-02-10","Details",""
"31",17,"LearnLaunchX","Cuethink","18,000","seed","2014-02-10","Details",""
"32",18,"LearnLaunchX","eduCanon","18,000","seed","2013-06-01","Details",""
"33",19,"LearnLaunchX","empow studios","18,000","seed","2013-06-01","Details",""
"34",20,"LearnLaunchX","HSTRY","18,000","seed","2014-02-10","Details",""
"35",21,"LearnLaunchX","QuadWrangle","18,000","seed","2014-02-10","Details",""
"36",22,"Jeff Baetz","QuadWrangle","152,500","angel","2014-09-01","Details",""
"37",23,"1776 Ventures","eduCanon","500,000","convertible_note","2014-09-08","Details",""
"38",24,"LearnLaunchX","gradeable","18,000","seed","2013-06-01","Details",""
"39",25,"LearnLaunchX","Campuscene","18,000","seed","2014-02-10","Details","Dead"
