"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Media Camp","Storytime Studios, Inc.","","seed","2013-05-14","Details",""
"2",2,"Media Camp","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"3",3,"Media Camp","ChannelMeter","","seed","2013-06-01","Details",""
"4",4,"Media Camp","Chute","20,000","seed","2012-06-07","Details",""
"5",5,"Y Combinator","Chute","20,000","seed","2012-06-07","Details",""
"6",6,"Media Camp","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"7",7,"Media Camp","Cinemacraft","600,000","venture","2016-03-01","Details",""
"8",8,"500startups","Cinemacraft","600,000","venture","2016-03-01","Details",""
"9",9,"500startups","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"10",10,"Matter.","ChannelMeter","","seed","2013-06-01","Details",""
"11",11,"Media Camp","Plumzi","","seed","2013-06-01","Details",""
"12",12,"500startups","Cinemacraft","600,000","venture","2016-03-01","Details",""
"13",13,"Media Camp","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"14",14,"Media Camp","Socialize","20,000","seed","2012-06-07","Details","Exited"
"15",15,"500startups","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"16",16,"Media Camp","Cinecore","","seed","2013-05-01","Details",""
"17",17,"Media Camp","Matcha","20,000","seed","2012-06-07","Details","Exited"
"18",18,"Media Camp","Switchcam","20,000","seed","2012-06-07","Details","Dead"
"19",19,"500startups","Dealflicks","","seed","2013-05-01","Details",""
"20",20,"500startups","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"21",21,"Media Camp","SocialSamba","20,000","seed","2012-06-07","Details","Dead"
"22",22,"Media Camp","Cinemacraft","600,000","venture","2016-03-01","Details",""
"23",23,"Techstars","Storytime Studios","","seed","2013-05-14","Details",""
"24",24,"Media Camp","Dealflicks","","seed","2013-05-01","Details",""
"25",1,"Jason Kothari","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"26",2,"Quest Venture Partners","Plumzi","3,700,000","venture","2014-06-23","Details",""
"27",3,"Archer Gray","Dealflicks","","seed","2013-05-01","Details",""
"28",4,"KDDI","Plumzi","","seed","2013-06-01","Details",""
"29",5,"Rubicon Venture Capital","Dealflicks","","seed","2013-05-01","Details",""
"30",6,"Media Camp","Storytime Studios, Inc.","","seed","2013-05-14","Details",""
"31",7,"500 Startups","Switchcam","1,200,000","seed","2012-06-14","Details","Dead"
"32",8,"Media Camp","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"33",9,"Darcy Wedd","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"34",10,"Media Camp","ChannelMeter","","seed","2013-06-01","Details",""
"35",11,"Alex Bartlett","Meograph","345,000","angel","2013-06-01","Details",""
"36",12,"Fierce Capital","Cinemacraft","775,000","seed","2014-02-26","Details",""
"37",13,"Media Camp","Chute","20,000","seed","2012-06-07","Details",""
"38",14,"Kevin McComber","Meograph","345,000","angel","2013-06-01","Details",""
"39",15,"500 Startups","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"40",16,"Media Camp","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"41",17,"Media Camp","Cinemacraft","600,000","venture","2016-03-01","Details",""
"42",18,"Samsung Ventures","Cinemacraft","775,000","seed","2014-02-26","Details",""
"43",19,"Michael Birch","Meograph","875,000","seed","2016-08-31","Details",""
"44",20,"NTT DOCOMO Ventures","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"45",21,"Warner Bros.","Storytime Studios, Inc.","500,000","seed","2014-05-06","Details",""
"46",22,"Shawn V. Gruver","Meograph","875,000","seed","2016-08-31","Details",""
"47",23,"Samsung Ventures","Cinemacraft","600,000","venture","2016-03-01","Details",""
"48",24,"Ullas Naik","Meograph","760,000","seed","2015-03-09","Details",""
"49",25,"Julie Allegro","Meograph","760,000","seed","2015-03-09","Details",""
"50",26,"Anand Upadhye","Meograph","345,000","angel","2013-06-01","Details",""
"51",27,"Samsung Ventures","Cinemacraft","775,000","seed","2014-02-26","Details",""
"52",28,"Philipp Stauffer","Meograph","760,000","seed","2015-03-09","Details",""
"53",29,"Streamlined Ventures","Meograph","875,000","seed","2016-08-31","Details",""
"54",30,"500 Startups","Dealflicks","","seed","2012-07-31","Details",""
"55",31,"Y Combinator","Chute","20,000","seed","2012-06-07","Details",""
"56",32,"Cloud Power Capital","Storytime Studios, Inc.","500,000","seed","2014-05-06","Details",""
"57",33,"Fierce Capital","Cinemacraft","775,000","seed","2014-02-26","Details",""
"58",34,"Wefunder","Dealflicks","","seed","2013-05-01","Details",""
"59",35,"Be Great Partners","Dealflicks","2,900,000","seed","2015-10-27","Details",""
"60",36,"Richard Wolpert","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"61",37,"Ajay Narula","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"62",38,"Rob Emrich","Dealflicks","","seed","2013-05-01","Details",""
"63",39,"KDDI Open Innovation Fund","Plumzi","","seed","2013-06-01","Details",""
"64",40,"Media Camp","Plumzi","","seed","2013-06-01","Details",""
"65",41,"Tyra Banks","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"66",42,"Ashwin Gokhale","Meograph","345,000","angel","2013-06-01","Details",""
"67",43,"Joe Fernandez","Chute","2,700,000","seed","2012-07-24","Details",""
"68",44,"Salesforce Ventures","Chute","2,700,000","seed","2012-07-24","Details",""
"69",45,"Fierce Capital","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"70",46,"Media Camp","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"71",47,"Salesforce Ventures","Chute","4,100,000","venture","2017-03-29","Details",""
"72",48,"Ullas Naik","Meograph","875,000","seed","2016-08-31","Details",""
"73",49,"NTT DOCOMO Ventures","Cinemacraft","600,000","venture","2016-03-01","Details",""
"74",50,"500 Startups","Cinemacraft","600,000","venture","2016-03-01","Details",""
"75",51,"Turner Broadcasting","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"76",52,"Sailesh Ramakrishnan","Meograph","875,000","seed","2016-08-31","Details",""
"77",53,"Freestyle Capital","Chute","2,700,000","seed","2012-07-24","Details",""
"78",54,"William Lohse","SocialSamba","","angel","2011-08-01","Details","Dead"
"79",55,"TMT Investments","Socialize","1,800,000","angel","2011-11-01","Details","Exited"
"80",56,"500 Startups","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"81",57,"Samsung Ventures","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"82",58,"Fenox Venture Capital","Socialize","","angel","2012-06-01","Details","Exited"
"83",59,"Samsung Ventures","Cinemacraft","600,000","venture","2016-03-01","Details",""
"84",60,"rocketship.vc","Meograph","875,000","seed","2016-08-31","Details",""
"85",61,"William Lohse","Chute","","angel","2011-08-01","Details",""
"86",62,"Media Camp","Socialize","20,000","seed","2012-06-07","Details","Exited"
"87",63,"Binh Tran","Chute","2,700,000","seed","2012-07-24","Details",""
"88",64,"Battery Ventures","Chute","2,700,000","seed","2012-07-24","Details",""
"89",65,"Maurice Werdegar","Meograph","760,000","seed","2015-03-09","Details",""
"90",66,"Allegro Venture Partners","Meograph","760,000","seed","2015-03-09","Details",""
"91",67,"Tekton Ventures","Chute","2,700,000","seed","2012-07-24","Details",""
"92",68,"500 Startups","Cinemacraft","600,000","venture","2016-03-01","Details",""
"93",69,"Western Technology Investment","Meograph","760,000","seed","2015-03-09","Details",""
"94",70,"Semyon Dukach","Meograph","875,000","seed","2016-08-31","Details",""
"95",71,"Larry Braitman","Meograph","760,000","seed","2015-03-09","Details",""
"96",72,"NTT DOCOMO Ventures","Cinemacraft","600,000","venture","2016-03-01","Details",""
"97",73,"NTT DOCOMO Ventures","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"98",74,"Freestyle Capital","Chute","7,000,000","venture","2013-05-07","Details",""
"99",75,"Semyon Dukach","Meograph","345,000","angel","2013-06-01","Details",""
"100",76,"Foundry Group","Chute","7,000,000","venture","2013-05-07","Details",""
"101",77,"U.S. Venture Partners (USVP)","Chute","7,000,000","venture","2013-05-07","Details",""
"102",78,"Michael Randolph","Meograph","345,000","angel","2013-06-01","Details",""
"103",79,"Fierce Capital","Cinemacraft","600,000","venture","2016-03-01","Details",""
"104",80,"Kate Van Sprange","Meograph","760,000","seed","2015-03-09","Details",""
"105",81,"Marc Berger","Dealflicks","1,700,000","seed","2014-07-21","Details",""
