"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"NMotion","MusicSpoke","20,000","seed","2014-06-01","Details",""
"2",2,"9Mile Labs","Mowdo","50,000","grant","2014-07-24","Details",""
"3",3,"NMotion","MusicSpoke","50,000","grant","2014-09-01","Details",""
"4",4,"NMotion","Commissioner.io","30,000","grant","2014-09-01","Details",""
"5",5,"NMotion","Commissioner.io","20,000","seed","2014-07-01","Details",""
"6",6,"9Mile Labs","Mowdo","55,000","seed","2014-04-01","Details",""
"7",7,"NMotion","Alumni Labs","20,000","seed","2013-06-01","Details","Dead"
"8",8,"NMotion","Cinnamon Social","20,000","seed","2013-06-01","Details",""
"9",9,"NMotion","Papertale","20,000","seed","2013-06-01","Details",""
"10",10,"NMotion","Cinnamon Social","100,000","seed","2014-04-01","Details",""
"11",1,"Nebraska Innovation Fund: Prototype Fund (Grant)","Commissioner.io","30,000","grant","2014-09-01","Details",""
"12",2,"NMotion","MusicSpoke","20,000","seed","2014-06-01","Details",""
"13",3,"Invest Nebraska","Cinnamon Social","20,000","seed","2013-06-01","Details",""
"14",4,"Nebraska Innovation Fund: Prototype Fund (Grant)","MusicSpoke","50,000","grant","2014-09-01","Details",""
"15",5,"NMotion","MusicSpoke","50,000","grant","2014-09-01","Details",""
"16",6,"NMotion","Commissioner.io","30,000","grant","2014-09-01","Details",""
"17",7,"NMotion","Commissioner.io","20,000","seed","2014-07-01","Details",""
"18",8,"Invest Nebraska","Alumni Labs","20,000","seed","2013-06-01","Details","Dead"
"19",9,"NMotion","Alumni Labs","20,000","seed","2013-06-01","Details","Dead"
"20",10,"Invest Nebraska","Papertale","20,000","seed","2013-06-01","Details",""
"21",11,"NMotion","Cinnamon Social","20,000","seed","2013-06-01","Details",""
"22",12,"Invest Nebraska","Commissioner.io","20,000","seed","2014-07-01","Details",""
"23",13,"Prosper Women Entrepreneurs","MusicSpoke","50,000","seed","2016-08-23","Details",""
"24",14,"Invest Nebraska","MusicSpoke","20,000","seed","2014-06-01","Details",""
"25",15,"NMotion","Papertale","20,000","seed","2013-06-01","Details",""
"26",16,"NMotion","Cinnamon Social","100,000","seed","2014-04-01","Details",""
