"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"NYC SeedStart","PartPic","20,000","seed","2014-09-05","Details",NA
"2",1,"OpenView","DataDog","94,500,000","venture","2016-01-12","Details",""
"3",2,"RTP Ventures","DataDog","6,200,000","venture","2012-11-21","Details",""
"4",3,"RTP Ventures","DataDog","15,000,000","venture","2014-02-04","Details",""
"5",4,"NYC Seed","NimbusBase","275,000","seed","2013-07-25","Details",""
"6",5,"Unilever Ventures","olapic","15,000,000","venture","2015-06-23","Details","Exited"
"7",6,"Index Ventures","DataDog","31,000,000","venture","2015-01-28","Details",""
"8",7,"Fung Capital USA","olapic","15,000,000","venture","2015-06-23","Details","Exited"
"9",8,"Michael Lazerow","olapic","15,000,000","venture","2015-06-23","Details","Exited"
"10",9,"Index Ventures","DataDog","94,500,000","venture","2016-01-12","Details",""
"11",10,"Fung Capital USA","olapic","5,000,000","venture","2013-07-30","Details","Exited"
"12",11,"IA Ventures","DataDog","6,200,000","venture","2012-11-21","Details",""
"13",12,"NYC Seed","UsherBuddy","","seed","2011-09-16","Details",""
"14",13,"Amplify Partners","DataDog","15,000,000","venture","2014-02-04","Details",""
"15",14,"Contour Venture Partners","DataDog","15,000,000","venture","2014-02-04","Details",""
"16",15,"The JumpFund","PartPic","1,500,000","seed","2015-06-18","Details",""
"17",16,"NYC Seed","CaseRails","20,000","seed","2013-09-20","Details",""
"18",17,"NYC Seed","PartPic","20,000","seed","2014-09-05","Details",""
"19",18,"IA Ventures","DataDog","15,000,000","venture","2014-02-04","Details",""
"20",19,"NYC Seed","DataDog","6,200,000","venture","2012-11-21","Details",""
"21",20,"Iconiq Capital","DataDog","94,500,000","venture","2016-01-12","Details",""
"22",21,"Neu Venture Capital","DataDog","1,200,000","seed","2011-04-29","Details",""
"23",22,"Longworth Venture Partners","olapic","5,000,000","venture","2013-07-30","Details","Exited"
"24",23,"NYC Seed","olapic","","seed","2011-09-16","Details","Exited"
"25",24,"Bradley C. Harrison","olapic","1,086,000","seed","2012-04-15","Details","Exited"
"26",25,"Scout Ventures","olapic","5,000,000","venture","2013-07-30","Details","Exited"
"27",26,"NYC Seed","DataDog","","seed","2010-07-27","Details",""
"28",27,"Lazerow Ventures","olapic","5,000,000","venture","2013-07-30","Details","Exited"
"29",28,"Amplify Partners","DataDog","94,500,000","venture","2016-01-12","Details",""
"30",29,"NYC Seed","Alluring Logic","","seed","2013-07-25","Details","Exited"
"31",30,"SeedInvest","PartPic","1,500,000","seed","2015-06-18","Details",""
"32",31,"NYC SeedStart","PartPic","20,000","seed","2014-09-05","Details",""
"33",32,"ARC Angel Fund","PartPic","1,500,000","seed","2015-06-18","Details",""
"34",33,"OpenView","DataDog","15,000,000","venture","2014-02-04","Details",""
"35",34,"Comcast Ventures","PartPic","1,500,000","seed","2015-06-18","Details",""
"36",35,"Robert Saunders","PartPic","1,500,000","seed","2015-06-18","Details",""
"37",36,"Kima Ventures","NimbusBase","275,000","seed","2013-07-25","Details",""
"38",37,"NYC Seed","Risktail","","seed","2010-07-27","Details",""
"39",38,"Joanne Wilson","PartPic","1,500,000","seed","2015-06-18","Details",""
"40",39,"Fabrice Grinda","olapic","15,000,000","venture","2015-06-23","Details","Exited"
"41",40,"Great Oaks Venture Capital","olapic","1,086,000","seed","2012-04-15","Details","Exited"
"42",41,"Eugene M. Lang Entrepreneurial Initiative Fund, The Eugene Lang Entrepreneurship Center, CBS","olapic","1,086,000","seed","2012-04-15","Details","Exited"
"43",42,"OpenView","DataDog","31,000,000","venture","2015-01-28","Details",""
"44",43,"Scout Ventures","olapic","1,086,000","seed","2012-04-15","Details","Exited"
"45",44,"RTP Ventures","DataDog","31,000,000","venture","2015-01-28","Details",""
"46",45,"NYC Seed","guides.ly","","seed","2011-01-01","Details",""
"47",46,"Felix Capital","olapic","15,000,000","venture","2015-06-23","Details","Exited"
"48",47,"Great Oaks Venture Capital","olapic","5,000,000","venture","2013-07-30","Details","Exited"
"49",48,"Index Ventures","DataDog","6,200,000","venture","2012-11-21","Details",""
"50",49,"Frederic Court","olapic","5,000,000","venture","2013-07-30","Details","Exited"
"51",50,"IA Ventures","DataDog","1,200,000","seed","2011-04-29","Details",""
"52",51,"Longworth Venture Partners","olapic","15,000,000","venture","2015-06-23","Details","Exited"
"53",52,"Bradley C. Harrison","olapic","5,000,000","venture","2013-07-30","Details","Exited"
"54",53,"NYC Seed","DataDog","15,000,000","venture","2014-02-04","Details",""
"55",54,"NYC Seed","Genjuice","","seed","2011-09-16","Details",""
"56",55,"RRE Ventures","DataDog","15,000,000","venture","2014-02-04","Details",""
"57",56,"Index Ventures","DataDog","15,000,000","venture","2014-02-04","Details",""
"58",57,"RTP Ventures","DataDog","1,200,000","seed","2011-04-29","Details",""
"59",58,"Contour Venture Partners","DataDog","1,200,000","seed","2011-04-29","Details",""
"60",59,"Jose Marin","olapic","15,000,000","venture","2015-06-23","Details","Exited"
"61",60,"Contour Venture Partners","DataDog","94,500,000","venture","2016-01-12","Details",""
"62",61,"Bob Pasker","DataDog","1,200,000","seed","2011-04-29","Details",""
"63",62,"RRE Ventures","DataDog","1,200,000","seed","2011-04-29","Details",""
"64",63,"Contour Venture Partners","DataDog","6,200,000","venture","2012-11-21","Details",""
