"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Blueprint Health","AllazoHealth","100,000","convertible_note","2014-07-22","Details",NA
"2",2,"New York Digital Health Accelerator","CipherHealth","","venture","2012-10-15","Details",NA
"3",3,"New York Digital Health Accelerator","AllazoHealth","100,000","convertible_note","2014-07-22","Details",NA
"4",4,"New York Digital Health Accelerator","Covertix","3,000,000","venture","2014-07-22","Details",NA
"5",5,"New York Digital Health Accelerator","noom","","venture","2014-07-22","Details",NA
"6",1,"Kleiner Perkins Caufield & Byers","noom","2,800,000,000","seed","2011-06-01","Details",""
"7",2,"NRV","MedCPU","5,000,000","venture","2015-07-14","Details",""
"8",3,"Maayan Ventures","Covertix","1,000,000","angel","2011-01-12","Details",""
"9",4,"Easton Capital","MedCPU","9,300,000","venture","2014-05-29","Details",""
"10",5,"LB Investment","noom","16,149,899","venture","2015-04-01","Details",""
"11",6,"Carl Byers","Cureatr","5,700,000","venture","2013-10-23","Details",""
"12",7,"Deerfield","Cureatr","13,000,000","venture","2015-06-25","Details",""
"13",8,"Silicon Valley Bank","MedCPU","3,000,000","debt_financing","2015-07-14","Details",""
"14",9,"2B Angels","Covertix","3,800,000","venture","2014-04-01","Details",""
"15",10,"Red Swan Ventures","aidin","600,000","venture","2012-06-16","Details",""
"16",11,"Office of the Chief Scientist of Israel - OCS","Covertix","1,000,000","angel","2011-01-12","Details",""
"17",12,"PFNYC","Cureatr","5,700,000","venture","2013-10-23","Details",""
"18",13,"Cerner Capital at Cerner Corporation","Cureatr","13,000,000","venture","2015-06-25","Details",""
"19",14,"I2BF Global Ventures","Wellth","2,000,000","seed","2016-05-25","Details",""
"20",15,"DS Strategic Partners","Covertix","","angel","2012-01-01","Details",""
"21",16,"Hanmi IT","noom","16,149,899","venture","2015-04-01","Details",""
"22",17,"2B Angels","Covertix","","angel","2012-01-01","Details",""
"23",18,"Qualcomm Ventures","noom","7,000,000","venture","2014-02-04","Details",""
"24",19,"TomorrowVentures","Remedy Systems","","undisclosed","2012-02-01","Details","Exited"
"25",20,"Translink Capital","noom","7,000,000","venture","2014-02-04","Details",""
"26",21,"Qualcomm Ventures","noom","2,800,000,000","venture","2012-12-18","Details",""
"27",22,"QED Investors","Dorsata","1,100,000","seed","2016-01-21","Details",""
"28",23,"KohFounders","Wellth","2,000,000","seed","2016-05-25","Details",""
"29",24,"Healthbox","Wellth","50,000","seed","2015-07-30","Details",""
"30",25,"Blueprint Health","AllazoHealth","20,000","seed","2012-07-19","Details",""
"31",26,"AltaIR Capital","Wellth","2,000,000","seed","2016-05-25","Details",""
"32",27,"Venture Capital Firms","noom","16,149,899","venture","2015-04-01","Details",""
"33",28,"InterVest","noom","16,149,899","venture","2015-04-01","Details",""
"34",29,"RRE Ventures","noom","16,149,899","venture","2015-04-01","Details",""
"35",30,"Qualcomm Ventures","noom","16,149,899","venture","2015-04-01","Details",""
"36",31,"Harbor Pacific Capital","noom","7,000,000","venture","2014-02-04","Details",""
"37",32,"Windham Venture Partners","Cureatr","13,000,000","venture","2015-06-25","Details",""
"38",33,"Kima Ventures","Covertix","","angel","2012-01-01","Details",""
"39",34,"RRE Ventures","noom","7,000,000","venture","2014-02-04","Details",""
"40",35,"Dartmouth-Hitchcock Medical Center","Dorsata","1,000,000","convertible_note","2014-12-10","Details",""
"41",36,"AXA Strategic Ventures","Wellth","2,000,000","seed","2016-05-25","Details",""
"42",37,"1776 Ventures","Dorsata","1,000,000","convertible_note","2015-01-26","Details",""
"43",38,"Beta Bridge Capital","Wellth","2,000,000","seed","2016-05-25","Details",""
"44",39,"2B Angels","Covertix","3,000,000","venture","2014-07-22","Details",""
"45",40,"Charlie Songhurst","aidin","600,000","venture","2012-06-16","Details",""
"46",41,"Band of Angels","aidin","600,000","venture","2012-06-16","Details",""
"47",42,"Lighter Capital","Clinigence","500,000","venture","2017-06-29","Details",""
"48",43,"StartUp Health","Avado","","venture","2012-09-15","Details","Exited"
"49",44,"General Catalyst Partners","aidin","600,000","venture","2012-06-16","Details",""
"50",45,"Blueprint Health","aidin","20,000","seed","2012-03-29","Details",""
"51",46,"DreamIt Ventures","Wellth","2,000,000","seed","2016-05-25","Details",""
"52",47,"New York Digital Health Accelerator","CipherHealth","","venture","2012-10-15","Details",""
"53",48,"HLM Venture Partners","aidin","600,000","venture","2012-06-16","Details",""
"54",49,"m8 Capital","noom","2,800,000,000","venture","2012-12-18","Details",""
"55",50,"Qualcomm Ventures","noom","","seed","2011-12-01","Details",""
"56",51,"JMI Equity","Cureatr","5,700,000","venture","2013-10-23","Details",""
"57",52,"JMI Services","Cureatr","13,000,000","venture","2015-06-25","Details",""
"58",53,"Cardinal Partners","Cureatr","5,700,000","venture","2013-10-23","Details",""
"59",54,"1776 Ventures","Dorsata","1,100,000","seed","2016-01-21","Details",""
"60",55,"Kima Ventures","Covertix","1,000,000","angel","2011-01-12","Details",""
"61",56,"Healthbox","iQuartic","","seed","2012-08-15","Details",""
"62",57,"Milestone Venture Partners","Cureatr","13,000,000","venture","2015-06-25","Details",""
"63",58,"RRE Ventures","noom","15,000,000","venture","2015-01-10","Details",""
"64",59,"1776 Ventures","Dorsata","1,000,000","convertible_note","2014-12-10","Details",""
"65",60,"Scrum Ventures","noom","15,000,000","venture","2015-01-10","Details",""
"66",61,"Kima Ventures","Covertix","246,029","seed","2010-09-01","Details",""
"67",62,"OurCrowd","Covertix","3,800,000","venture","2014-04-01","Details",""
"68",63,"Maayan Ventures","Covertix","","angel","2012-01-01","Details",""
"69",64,"Winnovation","Covertix","3,800,000","venture","2014-04-01","Details",""
"70",65,"Translink Capital","noom","15,000,000","venture","2015-01-10","Details",""
"71",66,"Scrum Ventures","noom","7,000,000","venture","2014-02-04","Details",""
"72",67,"New York Digital Health Accelerator","AllazoHealth","100,000","convertible_note","2014-07-22","Details",""
"73",68,"JTI","Covertix","3,800,000","venture","2014-04-01","Details",""
"74",69,"New York Digital Health Accelerator","Covertix","3,000,000","venture","2014-07-22","Details",""
"75",70,"Partnership Fund for New York City","Dorsata","1,100,000","seed","2016-01-21","Details",""
"76",71,"KohFounders","Wellth","400,000","angel","2014-10-31","Details",""
"77",72,"Translink Capital","noom","16,149,899","venture","2015-04-01","Details",""
"78",73,"Merck Global Health Innovation Fund","MedCPU","9,300,000","venture","2014-05-29","Details",""
"79",74,"New York Digital Health Accelerator","noom","","venture","2014-07-22","Details",""
"80",75,"Harbor Pacific Capital","noom","2,800,000,000","venture","2012-12-18","Details",""
"81",76,"Office of the Chief Scientist of Israel - OCS","Covertix","","angel","2012-01-01","Details",""
"82",77,"National Institutes of Health","noom","","grant","2013-10-22","Details",""
"83",78,"Recruit Strategic Partners","noom","7,000,000","venture","2014-02-04","Details",""
"84",79,"Merck Global Health Innovation Fund","MedCPU","5,000,000","venture","2015-07-14","Details",""
"85",80,"InterVest","noom","15,000,000","venture","2015-01-10","Details",""
"86",81,"Milestone Venture Partners","Cureatr","5,700,000","venture","2013-10-23","Details",""
"87",82,"Cardinal Partners","Cureatr","13,000,000","venture","2015-06-25","Details",""
"88",83,"NRV","MedCPU","9,300,000","venture","2014-05-29","Details",""
