"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","Toymail",NA,"seed","2015-07-16","Details",NA
"2",1,"Y Combinator","soil IQ","120,000","seed","2014-07-16","Details",""
"3",2,"Handbag","AlephCloud","7,500,000","venture","2013-05-22","Details","Dead"
"4",3,"Global Innovation Fund","Afrimarket","10,000,000","venture","2016-09-06","Details",""
"5",4,"Foundry Group","phone halo","8,700,000","venture","2015-10-06","Details",""
"6",5,"FundersClub","Videopixie","","undisclosed","2014-02-06","Details",""
"7",6,"Storm Ventures","talkdesk","15,000,000","venture","2015-06-09","Details",""
"8",7,"Draper Fisher Jurvetson (DFJ)","talkdesk","6,000,000","venture","2015-10-07","Details",""
"9",8,"Fenox Venture Capital","soil IQ","2,000,000","seed","2016-02-10","Details",""
"10",9,"Alex Khein","talkdesk","450,000","angel","2011-10-26","Details",""
"11",10,"QueensBridge Venture Partners","soil IQ","120,000","seed","2014-07-16","Details",""
"12",11,"Idea Bulb Ventures","soil IQ","","venture","2015-11-09","Details",""
"13",12,"Orange Digital Ventures","Afrimarket","2,500,000","venture","2015-01-27","Details",""
"14",13,"OCPFinance","Afrimarket","523,000","seed","2013-07-01","Details",""
"15",14,"Idea Bulb Ventures","soil IQ","2,000,000","seed","2016-02-10","Details",""
"16",15,"Wasabi Ventures","phone halo","","seed","2012-08-24","Details",""
"17",16,"Kima Ventures","Afrimarket","523,000","seed","2013-07-01","Details",""
"18",17,"Fenox Venture Capital","soil IQ","120,000","seed","2014-07-16","Details",""
"19",18,"GVEP International","fenix intl","","undisclosed","2012-01-01","Details",""
"20",19,"Storm Ventures","talkdesk","3,000,000","seed","2014-09-16","Details",""
"21",20,"Indicator Ventures","soil IQ","120,000","seed","2014-07-16","Details",""
"22",21,"The Social Entrepreneurs Fund","Angaza","1,500,000","seed","2013-11-29","Details",""
"23",22,"Salesforce Ventures","talkdesk","6,000,000","venture","2015-10-07","Details",""
"24",23,"500 Startups","talkdesk","3,000,000","seed","2014-09-16","Details",""
"25",24,"Alphamundi","fenix intl","","undisclosed","2012-01-01","Details",""
"26",25,"Storm Ventures","talkdesk","6,000,000","venture","2015-10-07","Details",""
"27",26,"Jawed Karim","Videopixie","1,100,000","seed","2015-05-18","Details",""
"28",27,"Draper Fisher Jurvetson (DFJ)","talkdesk","15,000,000","venture","2015-06-09","Details",""
"29",28,"Fenox Venture Capital","soil IQ","","venture","2015-11-09","Details",""
"30",29,"QueensBridge Venture Partners","soil IQ","","venture","2015-11-09","Details",""
"31",30,"Orange","Afrimarket","2,500,000","venture","2015-01-27","Details",""
"32",31,"Tech Coast Angels","phone halo","","venture","2011-07-01","Details",""
"33",32,"Indicator Ventures","soil IQ","","venture","2015-11-09","Details",""
"34",33,"500 Startups","talkdesk","450,000","angel","2011-10-26","Details",""
