"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Project Skyway","CribFrog",NA,"seed","2011-10-21","Details",""
"2",2,"Project Skyway","TelemetryWeb",NA,"seed","2011-10-21","Details",""
"3",3,"Project Skyway","YumZing",NA,"seed","2012-05-31","Details","Dead"
"4",4,"Project Skyway","HypeSpark",NA,"seed","2012-05-31","Details",""
"5",5,"Project Skyway","Naiku",NA,"seed","2011-10-21","Details",""
"6",1,"Project Skyway","CribFrog","","seed","2011-10-21","Details",""
"7",2,"Project Skyway","TelemetryWeb","","seed","2011-10-21","Details",""
"8",3,"Project Skyway","YumZing","","seed","2012-05-31","Details","Dead"
"9",4,"Project Skyway","HypeSpark","","seed","2012-05-31","Details",""
"10",5,"Gopher Angels","Naiku","1,020,000","venture","2014-04-13","Details",""
"11",6,"Project Skyway","Naiku","","seed","2011-10-21","Details",""
"12",7,"Daren Cotter","Naiku","1,020,000","venture","2014-04-13","Details",""
