"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Rockstart Accelerator","Matchhamster","60,000","seed","2015-03-01","Details",""
"2",2,"Rockstart Accelerator","Limk","293,000","seed","2014-04-28","Details",""
"3",3,"Rockstart Accelerator","Leadboxer","60,000","seed","2014-08-01","Details",""
"4",4,"Rockstart Accelerator","Wercker","2,400,000","venture","2014-10-01","Details","Exited"
"5",5,"Rockstart Accelerator","Wonderflow","60,000","seed","2014-04-01","Details",""
"6",6,"Rockstart Accelerator","Crowdyhouse","70,000","seed","2014-04-20","Details",""
"7",7,"Rockstart Accelerator","CareToSave","27,000","seed","2014-01-15","Details",""
"8",8,"Rockstart Accelerator","Parkaround","15,000","seed","2013-03-14","Details",""
"9",9,"Rockstart Accelerator","Technorides","60,000","seed","2014-03-10","Details",""
"10",10,"Rockstart Accelerator","Postcron","15,000","seed","2012-03-23","Details","Exited"
"11",1,"Kima Ventures","Limk","293,000","seed","2014-04-28","Details",""
"12",2,"Rockstart Accelerator","Matchhamster","60,000","seed","2015-03-01","Details",""
"13",3,"Brezho BV","Matchhamster","400,000","seed","2014-10-01","Details",""
"14",4,"Rockstart Accelerator","Limk","293,000","seed","2014-04-28","Details",""
"15",5,"XAnge Private Equity","Peerby","2,100,000","venture","2014-10-30","Details",""
"16",6,"South Ventures","Technorides","165,000","angel","2013-04-01","Details",""
"17",7,"Marcos Yamao","Technorides","100,000","angel","2014-05-01","Details",""
"18",8,"SanomaVentures","Peerby","2,100,000","venture","2014-10-30","Details",""
"19",9,"Nicholaus Oostdam","Technorides","100,000","angel","2014-05-01","Details",""
"20",10,"Vidoze","Postcron","34,000","angel","2012-06-01","Details","Exited"
"21",11,"Rockstart Accelerator","Leadboxer","60,000","seed","2014-08-01","Details",""
"22",12,"Doen","3Dhubs","","seed","2013-08-27","Details",""
"23",13,"Dutch Postcode Lottery","Peerby","100,000","grant","2012-09-24","Details",""
"24",14,"Notion Capital","Wercker","2,400,000","venture","2014-10-01","Details","Exited"
"25",15,"Alexis Pantazis","Parkaround","185,000","seed","2013-10-07","Details",""
"26",16,"Vidoze","PastBook","250,000","seed","2012-09-04","Details",""
"27",17,"Chrysanthos Chrysanthou","Parkaround","185,000","seed","2013-10-07","Details",""
"28",18,"Globo","Parkaround","3,000","grant","2012-06-01","Details",""
"29",19,"Emilios Markou","Parkaround","185,000","seed","2013-10-07","Details",""
"30",20,"Hardware.co Accelerator","CareToSave","","venture","2015-01-01","Details",""
"31",21,"Startupbootcamp","VideoAvatars","15,000","seed","2011-09-05","Details","Dead"
"32",22,"Rockstart Accelerator","Wercker","2,400,000","venture","2014-10-01","Details","Exited"
"33",23,"Rockstart","Parkaround","15,000","seed","2013-03-01","Details",""
"34",24,"Rockstart Accelerator","Wonderflow","60,000","seed","2014-04-01","Details",""
"35",25,"Dave McClure","Limk","293,000","seed","2014-04-28","Details",""
"36",26,"DOEN Foundation","WeShareSolar","500,000","seed","2015-02-18","Details",""
"37",27,"NXTP Labs","Technorides","70,000","seed","2013-01-16","Details",""
