"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Seed Hatchery","Boosterville","","seed","2013-05-06","Details",""
"2",2,"Seed Hatchery","Paytopia","15,000","seed","2012-03-24","Details",""
"3",3,"Seed Hatchery","Safety Hound","15,000","seed","2012-01-29","Details",""
"4",4,"Seed Hatchery","MentorMe","","seed","2013-01-31","Details",""
"5",5,"Seed Hatchery","Friendsignia","15,000","seed","2012-01-29","Details","Dead"
"6",6,"Seed Hatchery","ScrewPulp","","seed","2013-05-10","Details",""
"7",7,"Seed Hatchery","Choomogo","15,000","seed","2011-03-05","Details","Dead"
"8",8,"Seed Hatchery","Stiqrd","15,000","seed","2011-03-05","Details","Dead"
"9",9,"Seed Hatchery","Cloud Aptitude","15,000","seed","2012-01-29","Details","Dead"
"10",10,"Seed Hatchery","Obeedo","15,000","seed","2011-03-05","Details","Dead"
"11",11,"Seed Hatchery","Krikle","15,000","seed","2011-03-05","Details","Dead"
"12",12,"Seed Hatchery","Work For Pie","15,000","seed","2011-03-05","Details",""
"13",13,"Seed Hatchery","A Smarter City","15,000","seed","2011-03-05","Details","Dead"
"14",1,"malmo ventures","ScrewPulp","330,000","seed","2014-02-02","Details",""
"15",2,"Solidus Company","Knoco","15,000","seed","2012-01-01","Details",""
"16",3,"Seed Hatchery","Boosterville","","seed","2013-05-06","Details",""
"17",4,"Solidus Company","Boosterville","15,000","seed","2013-03-01","Details",""
"18",5,"Start Co.","Musistic","215,000","angel","2014-01-31","Details",""
"19",6,"Seed Hatchery","Paytopia","15,000","seed","2012-03-24","Details",""
"20",7,"Solidus","Work For Pie","300,000","seed","2012-05-03","Details",""
"21",8,"a>m ventures","Obeedo","","seed","2011-07-15","Details","Dead"
"22",9,"Seed Hatchery","Safety Hound","15,000","seed","2012-01-29","Details",""
"23",10,"Start Co.","ScrewPulp","330,000","seed","2014-02-02","Details",""
"24",11,"Undisclosed Investor","Boosterville","830,000","seed","2017-02-06","Details",""
"25",12,"malmo ventures","Musistic","15,000","seed","2013-02-01","Details",""
"26",13,"Seed Hatchery","MentorMe","","seed","2013-01-31","Details",""
"27",14,"a>m ventures","Work For Pie","","seed","2011-09-16","Details",""
"28",15,"Seed Hatchery","Friendsignia","15,000","seed","2012-01-29","Details","Dead"
"29",16,"Seed Hatchery","ScrewPulp","","seed","2013-05-10","Details",""
"30",17,"Seed Hatchery","Choomogo","15,000","seed","2011-03-05","Details","Dead"
"31",18,"Solidus Company","Paytopia","15,000","seed","2012-03-24","Details",""
"32",19,"Start Co.","MentorMe","175,000","seed","2014-02-03","Details",""
"33",20,"Seed Hatchery","Stiqrd","15,000","seed","2011-03-05","Details","Dead"
"34",21,"316 Investments","Boosterville","830,000","seed","2017-02-06","Details",""
"35",22,"Prosper Women Entrepreneurs","Boosterville","50,000","seed","2016-01-10","Details",""
"36",23,"VisionTech Angels","Boosterville","830,000","seed","2017-02-06","Details",""
"37",24,"Seed Hatchery","Cloud Aptitude","15,000","seed","2012-01-29","Details","Dead"
"38",25,"Solidus Company","Boosterville","","seed","2013-02-01","Details",""
"39",26,"Seed Hatchery","Obeedo","15,000","seed","2011-03-05","Details","Dead"
"40",27,"Solidus Company","Friendsignia","15,000","seed","2012-01-29","Details","Dead"
"41",28,"Solidus Company","Musistic","15,000","seed","2013-02-01","Details",""
"42",29,"Solidus Company","Cloud Aptitude","15,000","seed","2012-01-29","Details","Dead"
"43",30,"Seed Hatchery","Krikle","15,000","seed","2011-03-05","Details","Dead"
"44",31,"Undisclosed Undisclosed","Boosterville","830,000","seed","2017-02-06","Details",""
"45",32,"Start Co.","Musistic","15,000","seed","2013-02-01","Details",""
"46",33,"Seed Hatchery","Work For Pie","15,000","seed","2011-03-05","Details",""
"47",34,"a>m ventures","Work For Pie","300,000","seed","2012-05-03","Details",""
"48",35,"Solidus Company","ScrewPulp","15,000","seed","2013-03-01","Details",""
"49",36,"Seed Hatchery","A Smarter City","15,000","seed","2011-03-05","Details","Dead"
"50",37,"Solidus Company","Safety Hound","15,000","seed","2012-01-29","Details",""
