"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"SeedSumo","Gripe-O","250,000","seed","2015-05-05","Details",NA
"2",2,"SeedSumo","Polco","50,000","seed","2015-05-02","Details",NA
"3",3,"SeedSumo","reQwip","50,000","seed","2014-05-19","Details",NA
"4",4,"SeedSumo","TheCarforce","","venture","2016-10-03","Details",NA
"5",5,"SeedSumo","TargetVision","50,000","seed","2015-05-03","Details",NA
"6",6,"SeedSumo","Fanout","30,000","seed","2014-05-19","Details",NA
"7",7,"SeedSumo","TheCarforce","550,000","seed","2015-09-21","Details",NA
"8",8,"SeedSumo","AskU","20,000","seed","2014-05-19","Details",NA
"9",9,"SeedSumo","Prepify","20,000","seed","2014-05-19","Details",NA
"10",10,"SeedSumo","Kinskii","50,000","seed","2015-05-06","Details",NA
"11",11,"SeedSumo","PrepFlash","55,500","seed","2015-05-07","Details",NA
"12",12,"SeedSumo","Polco","655,000","seed","2015-10-01","Details",NA
"13",13,"SeedSumo","TheCarforce","100,000","seed","2015-05-20","Details",NA
"14",14,"SeedSumo","Sportwip","20,000","seed","2014-05-19","Details",NA
"15",1,"SeedSumo","Gripe-O","250,000","seed","2015-05-05","Details",NA
"16",2,"SeedSumo","Polco","50,000","seed","2015-05-02","Details",NA
"17",3,"SeedSumo","reQwip","50,000","seed","2014-05-19","Details",NA
"18",4,"SeedSumo","TheCarforce","","venture","2016-10-03","Details",NA
"19",5,"SeedSumo","TargetVision","50,000","seed","2015-05-03","Details",NA
"20",6,"SeedSumo","Fanout","30,000","seed","2014-05-19","Details",NA
"21",7,"SeedSumo","TheCarforce","550,000","seed","2015-09-21","Details",NA
"22",8,"SeedSumo","AskU","20,000","seed","2014-05-19","Details",NA
"23",9,"SeedSumo","Prepify","20,000","seed","2014-05-19","Details",NA
"24",10,"SeedSumo","Kinskii","50,000","seed","2015-05-06","Details",NA
"25",11,"SeedSumo","PrepFlash","55,500","seed","2015-05-07","Details",NA
"26",12,"Jason Calacanis","TheCarforce","","venture","2016-10-03","Details",NA
"27",13,"SeedSumo","Polco","655,000","seed","2015-10-01","Details",NA
"28",14,"SeedSumo","TheCarforce","100,000","seed","2015-05-20","Details",NA
"29",15,"Digitech Venture Capital Fund","TheCarforce","","venture","2016-10-03","Details",NA
"30",16,"SeedSumo","Sportwip","20,000","seed","2014-05-19","Details",NA
"31",17,"RoseRock","TheCarforce","550,000","seed","2015-09-21","Details",NA
"32",18,"StartOut","reQwip","5,000","grant","2012-10-12","Details",NA
"33",19,"100 X Capital Partners","TheCarforce","550,000","seed","2015-09-21","Details",NA
