"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Seedcamp","Boxed Ice","50,000","seed","2009-09-25","",""
"2",2,"Seedcamp","checkthis","910,000","seed","2012-06-12","Details",""
"3",3,"Seedcamp","Brainient","50,000","seed","2009-09-25","Details","Exited"
"4",4,"Seedcamp","Rentlord","","seed","2011-09-12","Details",""
"5",5,"Seedcamp","Repairy","","seed","2012-07-31","Details",""
"6",6,"Seedcamp","Basekit","","seed","2009-04-01","Details",""
"7",7,"Seedcamp","Traity","","seed","2012-07-31","Details",""
"8",8,"Seedcamp","tl;dr","","seed","2012-12-31","Details",""
"9",9,"Seedcamp","Ctrlio","100,000","seed","2013-07-11","Details",""
"10",10,"Seedcamp","Brandid","","seed","2012-08-16","Details",""
"11",11,"Seedcamp","CrowdProcess","","seed","2012-11-30","Details",""
"12",12,"Seedcamp","SquadMail","","seed","2013-08-22","Details",""
"13",13,"Seedcamp","Compilr","","seed","2011-06-14","Details","Exited"
"14",14,"Seedcamp","Tanaza","","seed","2014-02-10","Details",""
"15",15,"Seedcamp","Transferwise","1,300,000","seed","2012-04-17","Details",""
"16",16,"Seedcamp","myTips","34,000","seed","2014-02-15","Details",""
"17",17,"Seedcamp","SimpleTax","150,000","seed","2012-12-01","Details",""
"18",18,"Seedcamp","Codacy","500,000","seed","2013-11-20","Details",""
"19",19,"Seedcamp","24symbols","5,000","seed","2012-02-01","Details",""
"20",20,"Seedcamp","Holvi","250,000","seed","2011-08-01","Details","Exited"
"21",21,"Techstars","GrabCAD","","seed","2011-02-01","Details","Exited"
"22",22,"Seedcamp","Lodgify","","seed","2014-02-10","Details",""
"23",23,"Seedcamp","EDITD","1,600,000","seed","2011-06-07","Details",""
"24",24,"Seedcamp","mybuilder","50,000","seed","2007-09-01","Details","Exited"
"25",25,"Seedcamp","GIS Cloud","","seed","2010-09-16","Details",""
"26",26,"Seedcamp","EDITD","","seed","2010-09-16","Details",""
"27",27,"500startups","myTips","34,000","seed","2014-02-15","Details",""
"28",28,"Seedcamp","FarmerOn","1,609,000","seed","2012-05-10","Details","Exited"
"29",29,"Techstars","Cuvva","1,500,000","seed","2017-01-25","Details",""
"30",30,"Seedcamp","GoWorkABit","15,000","seed","2014-02-15","Details",""
"31",31,"Eleven Startup Accelerator","Farmhopping","50,000","seed","2014-01-01","Details",""
"32",32,"Seedcamp","knowable.org","","seed","2012-12-31","Details",""
"33",33,"500startups","Stamplay","64,300","seed","2013-08-31","Details",""
"34",34,"Seedcamp","Transferwise","6,000,000","venture","2013-05-13","Details",""
"35",35,"Seedcamp","Unifyo","","seed","2012-12-31","Details",""
"36",36,"Seedcamp","FishBrain","150,000","seed","2013-09-05","Details",""
"37",37,"Seedcamp","rentmineonline","50,000","seed","2007-09-01","Details","Exited"
"38",38,"Seedcamp","Sharelatex","","seed","2013-09-06","Details",""
"39",39,"500startups","myTips","35,000","seed","2013-11-01","Details",""
"40",40,"Seedcamp","Winnow Solutions","","seed","2013-09-06","Details",""
"41",41,"Seedcamp","Scoville/Kukunu ***","400,000","seed","2010-01-01","Details","Exited"
"42",42,"Seedcamp","zemanta","100,000","seed","2007-09-01","Details",""
"43",43,"Seedcamp","Antavo","50,000","seed","2012-04-06","Details",""
"44",44,"Seedcamp","Planvine","","seed","2013-01-31","Details",""
"45",45,"Seedcamp","Profitero","50,000","seed","2010-09-09","Details",""
"46",46,"Seedcamp","Publisha","","seed","2010-09-16","Details",""
"47",47,"Seedcamp","ubervu","50,000","seed","2008-09-01","Details","Exited"
"48",48,"Seedcamp","Nuji","","seed","2010-09-16","Details",""
"49",49,"Seedcamp","Saberr","","seed","2013-09-06","Details",""
"50",50,"Seedcamp","Mopapp","50,000","seed","2011-04-01","Details",""
"51",51,"Seedcamp","Platogo","","seed","2009-09-15","Details","Exited"
"52",52,"Seedcamp","minubo","1,000,000","seed","2013-09-27","Details",""
"53",53,"Seedcamp","Patients Know Best","","seed","2009-04-20","Details",""
"54",54,"Seedcamp","Sportlyzer","","seed","2011-08-10","Details",""
"55",55,"Seedcamp","Vox.io","","seed","2011-01-25","Details",""
"56",56,"Seedcamp","soup.io","50,000","seed","2008-10-01","Details",""
"57",57,"Seedcamp","Sayduck","50,000","seed","2012-04-01","Details",""
"58",58,"Seedcamp","oust.me","","seed","2011-07-14","Details",""
"59",59,"Seedcamp","Transferwise","58,000,000","venture","2015-01-25","Details",""
"60",60,"Seedcamp","BorrowMyDoggy","","seed","2013-09-06","Details",""
"61",61,"Seedcamp","FishBrain","8,000,000","venture","2015-07-22","Details",""
"62",62,"Seedcamp","We Are Colony","","seed","2014-02-10","Details",""
"63",63,"Seedcamp","Formisimo","350,000","seed","2014-06-02","Details",""
"64",64,"Techstars","Codeship","300,000","convertible_note","2013-03-01","Details",""
"65",65,"Seedcamp","Campalyst","","seed","2011-07-01","Details","Dead"
"66",66,"Seedcamp","Revision App","","seed","2013-09-06","Details",""
"67",67,"Seedcamp","Socialbro","","seed","2011-11-16","Details",""
"68",68,"Seedcamp","TRData","70,000","seed","2012-08-01","Details",""
"69",69,"Y Combinator","Cymmetria","1,500,000","seed","2015-07-19","Details",""
"70",70,"Seedcamp","sush.io/ Archiveme","","seed","2011-12-06","Details",""
"71",71,"Seedcamp","Stamplay","64,300","seed","2013-08-31","Details",""
"72",72,"Seedcamp","Formisimo","586,000","seed","2014-05-30","Details",""
"73",73,"Seedcamp","kwaga","600,000","seed","2009-04-01","Details",""
"74",74,"Seedcamp","GateMe","90,000","seed","2012-08-22","Details",""
"75",75,"Seedcamp","Bluefields","50,000","seed","2012-02-07","Details",""
"76",76,"Seedcamp","Maily","700,000","seed","2014-10-01","Details",""
"77",77,"Seedcamp","stupeflix","","seed","2008-09-01","Details","Exited"
"78",78,"fbFund","RentMineOnline","50,000","seed","2007-09-01","Details","Exited"
"79",79,"500startups","Farmeron","1,609,000","seed","2012-05-10","Details","Exited"
"80",80,"Seedcamp","Teddy the Guardian","","seed","2013-09-06","Details",""
"81",81,"500startups","Bluefields.com","50,000","seed","2012-02-07","Details",""
"82",82,"Seedcamp","myTips","35,000","seed","2013-11-01","Details",""
"83",83,"500startups","Farmeron","","seed","2011-09-29","Details","Exited"
"84",84,"Seedcamp","Wordy","50,000","seed","2010-09-01","Details",""
"85",85,"500startups","TruckTrack","25,000","seed","2013-05-31","Details",""
"86",86,"Seedcamp","FarmerOn","","seed","2011-09-29","Details","Exited"
"87",87,"Seedcamp","Elliptic","","seed","2014-02-10","Details",""
"88",88,"Seedcamp","kublax  ***","","seed","2008-01-01","Details","Dead"
"89",89,"Seedcamp","Zercatto","","seed","2013-11-06","Details",""
"90",90,"Seedcamp","Psykosoft","","seed","2011-01-25","Details",""
"91",91,"Seedcamp","Bilbus","50,000","seed","2011-07-01","Details",""
"92",92,"Seedcamp","toksta","","seed","2008-09-01","Details","Exited"
"93",93,"Seedcamp","Transferwise","50,000","seed","2011-08-01","Details",""
"94",94,"Seedcamp","Talasim","50,000","seed","2009-09-25","Details","Exited"
"95",95,"Seedcamp","Transferwise","25,000,000","venture","2014-06-09","Details",""
"96",96,"Seedcamp","tablefinder * ***","50,000","seed","2007-09-07","Details","Dead"
"97",97,"Seedcamp","TruckTrack","25,000","seed","2013-05-31","Details",""
"98",98,"Seedcamp","pult.io","","seed","2012-02-01","Details","Dead"
"99",99,"Seedcamp","Poq Studio","","seed","2012-01-01","Details",""
"100",100,"Seedcamp","minubo","1,600,000","seed","2014-12-11","Details",""
"101",101,"Seedcamp","mobclix","","seed","2008-09-01","Details","Exited"
"102",102,"Seedcamp","Futurelytics","","seed","2012-11-01","Details",""
"103",103,"Seedcamp","Mightyfingers","","seed","2012-04-19","Details",""
"104",104,"Techstars","Psykosoft","","seed","2011-01-25","Details",""
"105",105,"Seedcamp","Fractal","50,000","seed","2011-09-01","Details",""
"106",106,"Seedcamp","Sparkeo","","seed","2010-09-16","Details",""
"107",107,"Seedcamp","Nuji","2,000,000","seed","2014-03-24","Details",""
"108",108,"Seedcamp","Erply","50,000","seed","2009-09-25","Details",""
"109",109,"Seedcamp","Qminder","50,000","seed","2011-10-20","Details",""
"110",110,"500startups","Traity","","seed","2012-07-31","Details",""
"111",111,"Seedcamp","GrabCad","","seed","2011-02-01","Details","Exited"
"112",112,"Seedcamp","hypernumbers","","seed","2007-09-01","Details",""
"113",113,"Seedcamp","We Are Colony","","seed","2014-02-10","Details",""
"114",114,"Seedcamp","Efficient Cloud","100,000","seed","2011-04-01","Details","Dead"
"115",115,"Seedcamp","BuzzTale","50,000","debt_financing","2013-12-17","Details",""
"116",1,"Christoph Janz","Boxed Ice","135,000","angel","2011-05-24","",""
"117",2,"Distilled","Boxed Ice","135,000","angel","2011-05-24","",""
"118",3,"Kyle Mcginn","Boxed Ice","135,000","angel","2011-05-24","",""
"119",4,"Qamar Aziz","Boxed Ice","135,000","angel","2011-05-24","",""
"120",5,"Seedcamp","Boxed Ice","50,000","seed","2009-09-25","",""
"121",6,"Index Ventures","EDITD","4,400,000","venture","2014-02-11","Details",""
"122",7,"Seedcamp","checkthis","910,000","seed","2012-06-12","Details",""
"123",8,"Seedcamp","Brainient","50,000","seed","2009-09-25","Details","Exited"
"124",9,"Citrix Startup Accelerator","Unifyo","","seed","2011-10-28","Details",""
"125",10,"Jacques-Antoine Granjon","sush.io/ Archiveme","325,000","seed","2013-04-25","Details",""
"126",11,"Seedcamp","Rentlord","","seed","2011-09-12","Details",""
"127",12,"Taavet Hinrikus","FarmerOn","1,609,000","seed","2012-05-10","Details","Exited"
"128",13,"Seedcamp","Repairy","","seed","2012-07-31","Details",""
"129",14,"Seedcamp","Basekit","","seed","2009-04-01","Details",""
"130",15,"OSEO Innovation","kwaga","600,000","seed","2009-04-01","Details",""
"131",16,"Taavet Hinrikus","FarmerOn","2,650,000","seed","2014-05-23","Details","Exited"
"132",17,"SV Angel","checkthis","910,000","seed","2012-06-12","Details",""
"133",18,"Zeljko Mataija","FarmerOn","15,000","angel","2010-10-01","Details","Exited"
"134",19,"Omnis Mundi","kublax  ***","1,000,000","angel","2009-05-05","Details","Dead"
"135",20,"500 Startups","Bluefields","50,000","seed","2012-02-07","Details",""
"136",21,"Seedcamp","Traity","","seed","2012-07-31","Details",""
"137",22,"Octopus Ventures","Elliptic","2,000,000","seed","2014-07-16","Details",""
"138",23,"Evan Nisselson","FarmerOn","1,609,000","seed","2012-05-10","Details","Exited"
"139",24,"Angus Davis","GrabCad","1,100,000","seed","2011-06-08","Details","Exited"
"140",25,"Eden Ventures","Basekit","2,600,000","venture","2010-06-15","Details",""
"141",26,"Alex Ott","GrabCad","1,100,000","seed","2011-06-08","Details","Exited"
"142",27,"Seedcamp","tl;dr","","seed","2012-12-31","Details",""
"143",28,"Seedcamp","Ctrlio","100,000","seed","2013-07-11","Details",""
"144",29,"Oleg Tscheltzoff","kwaga","600,000","seed","2009-04-01","Details",""
"145",30,"The Accelerator Group","zemanta","1,600,000","venture","2009-08-01","Details",""
"146",31,"NESTA Investments","Basekit","4,500,000","venture","2014-02-03","Details",""
"147",32,"Index Ventures","EDITD","1,600,000","seed","2011-06-07","Details",""
"148",33,"Union Square Ventures","zemanta","1,600,000","venture","2009-08-01","Details",""
"149",34,"Seedcamp","Brandid","","seed","2012-08-16","Details",""
"150",35,"Mårten Mickos","Erply","2,000,000","venture","2010-03-22","Details",""
"151",36,"Seedcamp","CrowdProcess","","seed","2012-11-30","Details",""
"152",37,"Paul Birch","mybuilder","","seed","2008-01-24","Details","Exited"
"153",38,"Jonathan Zisermann","sush.io/ Archiveme","325,000","seed","2013-04-25","Details",""
"154",39,"Dirk Graber","minubo","1,000,000","seed","2013-09-27","Details",""
"155",40,"TAG – The Acceleration Group","Nuji","2,000,000","seed","2014-03-24","Details",""
"156",41,"Venrex Investment Management","Poq Studio","","seed","2012-01-01","Details",""
"157",42,"Seedcamp","SquadMail","","seed","2013-08-22","Details",""
"158",43,"Joa Investimentos","Countly","600,000","angel","2013-01-01","Details",""
"159",44,"UnLtd","Patients Know Best","40,000","grant","2011-10-01","Details",""
"160",45,"Seedcamp","Compilr","","seed","2011-06-14","Details","Exited"
"161",46,"Venrex Investment Management","Bluefields","1,000,000","seed","2013-02-15","Details",""
"162",47,"Chris Hitchen","Lodgify","600,000","seed","2015-05-19","Details",""
"163",48,"Matrix Partners","GrabCad","4,000,000","venture","2012-01-04","Details","Exited"
"164",49,"Estonian Development Fund","Sportlyzer","257,000","seed","2009-08-07","Details",""
"165",50,"Taavet Hinrikus","checkthis","910,000","seed","2012-06-12","Details",""
"166",51,"Seedcamp","Tanaza","","seed","2014-02-10","Details",""
"167",52,"Seedcamp","Transferwise","1,300,000","seed","2012-04-17","Details",""
"168",53,"Stephan Schambach","minubo","1,600,000","seed","2014-12-11","Details",""
"169",54,"Zed","24symbols","2,000,000","seed","2013-05-15","Details",""
"170",55,"IA Ventures","Transferwise","1,300,000","seed","2012-04-17","Details",""
"171",56,"Emma Wilson","Brainient","1,800,000","venture","2012-01-15","Details","Exited"
