"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Techstars","Matcherino","1,500,000","seed","2017-07-10","Details",NA
"2",2,"HAXLR8R","Kindara","5,300,000","seed","2015-08-19","Details",NA
"3",3,"i/o ventures","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",NA
"4",4,"Portland Incubator Experiment (PIE)","Droplr","478,517","seed","2013-10-18","Details",NA
"5",5,"NFX","CricketHealth","950,000","convertible_note","2015-06-11","Details",NA
"6",6,"NFX","CricketHealth","2,600,000","seed","2016-01-28","Details",NA
"7",7,"Imagine K12","CodeHS","1,750,000","seed","2015-01-23","Details",NA
"8",8,"Imagine K12","CodeHS","650,000","seed","2016-12-07","Details",NA
"9",9,"Portland Incubator Experiment (PIE)","Droplr","400,000","venture","2016-08-24","Details",NA
"10",10,"i/o ventures","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",NA
