"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Shotput Ventures","ShoutNow.com","20,000","seed","2009-08-15","Details",""
"2",2,"Shotput Ventures","Looxii","97,500","angel","2009-10-17","Details","Dead"
"3",3,"Shotput Ventures","KHU.SH","120,000","seed","2009-11-20","Details","Exited"
"4",4,"Shotput Ventures","OpenHatch","","seed","2009-01-01","Details",""
"5",5,"Shotput Ventures","SocialGuides","20,000","seed","2009-06-01","Details","Dead"
"6",1,"Shotput Ventures","ShoutNow.com","20,000","seed","2009-08-15","Details",""
"7",2,"Shotput Ventures","Looxii","97,500","angel","2009-10-17","Details","Dead"
"8",3,"Yee Lee","KHU.SH","","seed","2010-12-01","Details","Exited"
"9",4,"Shotput Ventures","KHU.SH","120,000","seed","2009-11-20","Details","Exited"
"10",5,"Shotput Ventures","OpenHatch","","seed","2009-01-01","Details",""
"11",6,"500 Startups","KHU.SH","","seed","2010-12-01","Details","Exited"
"12",7,"Shotput Ventures","SocialGuides","20,000","seed","2009-06-01","Details","Dead"
