"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Springboard","Publification","20,000","seed","2011-06-30","Details",""
"2",2,"Springboard","Hassle.com (prev. Teddle)","23,000","seed","2012-04-02","Details","Exited"
"3",1,"Springboard","Knodium","35,000","seed","2012-04-01","Details",""
"4",2,"Springboard","AdWings","15,000","venture","2011-05-01","Details","Dead"
"5",1,"Springboard Angels","5minutes.to","10,000","seed","2012-03-19","Details",""
"6",2,"Black Ocean","Tastebuds.fm","600,000","seed","2013-04-18","Details",""
"7",3,"Playfair Capital","Birdback","2,400,000","venture","2014-02-06","Details",""
"8",4,"Passion Capital","Birdback","2,400,000","venture","2014-02-06","Details",""
"9",5,"Andreessen Horowitz","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"10",6,"SV Angel","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"11",7,"Baseline Ventures","PagerDuty","27,200,000","venture","2014-07-31","Details",""
"12",8,"Springboard","Publification","20,000","seed","2011-06-30","Details",""
"13",9,"Ballpark Ventures","Tray","600,000","angel","2012-11-01","Details",""
"14",10,"Andy McLoughlin","Tray","600,000","angel","2012-11-01","Details",""
"15",11,"Richard Fearn","Tray","600,000","angel","2012-11-01","Details",""
"16",12,"Lumia Capital","PagerDuty","","secondary_market","2016-08-31","Details",""
"17",13,"Passion Capital","Tray","600,000","angel","2012-11-01","Details",""
"18",14,"Baseline Ventures","Apiary.io","1,630,000","seed","2013-09-17","Details","Exited"
"19",15,"Credo Ventures","Apiary.io","1,630,000","seed","2013-09-17","Details","Exited"
"20",16,"Northstar Ventures","Publification","100,000","seed","2011-12-23","Details",""
"21",17,"Mosaic Ventures","Tray","5,000,000","venture","2016-11-17","Details",""
"22",18,"Andreessen Horowitz","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"23",19,"Kima Ventures","Blottr","100,000","seed","2013-02-12","Details",""
"24",20,"Luke Johnson","Birdback","2,400,000","venture","2014-02-06","Details",""
"25",21,"Fabrice Grinda","Blottr","612,000","venture","2013-02-21","Details",""
"26",22,"Startupbootcamp","Vidiowiki","15,000","seed","2012-07-01","Details","Dead"
"27",23,"XG Ventures","Apiary.io","1,630,000","seed","2013-09-17","Details","Exited"
"28",24,"Esther Dyson","Apiary.io","120,000","angel","2011-12-23","Details","Exited"
"29",25,"Midven","PlayMob","500,000","venture","2012-03-08","Details",""
"30",26,"Accel","Hassle.com (prev. Teddle)","6,000,000","venture","2014-05-08","Details","Exited"
"31",27,"Benjamin Ling","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"32",28,"True Ventures","Tray","5,000,000","venture","2016-11-17","Details",""
"33",29,"Baseline Ventures","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"34",30,"Harrison Metal","PagerDuty","27,200,000","venture","2014-07-31","Details",""
"35",31,"Baseline Ventures","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"36",32,"Flybridge Capital Partners","Apiary.io","6,800,000","venture","2015-08-18","Details","Exited"
"37",33,"Harrison Metal","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"38",34,"Accel","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"39",35,"AngelPad","Tray","2,200,000","seed","2015-04-16","Details",""
"40",36,"Sarah du Heaume","Hassle.com (prev. Teddle)","255,000","venture","2013-04-16","Details","Exited"
"41",37,"Firestartr","Tray","600,000","angel","2012-11-01","Details",""
"42",38,"Flybridge Capital Partners","Apiary.io","1,630,000","seed","2013-09-17","Details","Exited"
"43",39,"Andreessen Horowitz","PagerDuty","27,200,000","venture","2014-07-31","Details",""
"44",40,"Tandem Capital","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"45",41,"Reflex Capital","Apiary.io","","venture","2016-09-01","Details","Exited"
"46",42,"Tom Hulme","Tray","600,000","angel","2012-11-01","Details",""
"47",43,"Harrison Metal","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"48",44,"AngelPad","Tray","600,000","angel","2012-11-01","Details",""
"49",45,"David Pritchard","Hassle.com (prev. Teddle)","255,000","venture","2013-04-16","Details","Exited"
"50",46,"Flybridge Capital Partners","Apiary.io","6,000,000","venture","2015-01-22","Details","Exited"
"51",47,"Baseline Ventures","Apiary.io","6,800,000","venture","2015-08-18","Details","Exited"
"52",48,"Redpoint","Tray","2,200,000","seed","2015-04-16","Details",""
"53",49,"Springboard","Hassle.com (prev. Teddle)","23,000","seed","2012-04-02","Details","Exited"
"54",50,"Neil Davidson","Apiary.io","120,000","angel","2011-12-23","Details","Exited"
"55",51,"Credo Ventures","Apiary.io","6,800,000","venture","2015-08-18","Details","Exited"
"56",52,"Bessemer Venture Partners","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"57",53,"True Ventures","Tray","2,200,000","seed","2015-04-16","Details",""
"58",54,"Bessemer Venture Partners","PagerDuty","27,200,000","venture","2014-07-31","Details",""
"59",55,"Harrison Metal","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"60",56,"Jesse Robbins","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"61",57,"Ventech","Hassle.com (prev. Teddle)","6,000,000","venture","2014-05-08","Details","Exited"
"62",58,"Capital for Enterprise","PlayMob","750,000","undisclosed","2013-09-09","Details",""
"63",59,"Venrex Investment Management","PlayMob","","venture","2014-04-01","Details",""
"64",60,"Sarah du Heaume","PlayMob","125,000","angel","2011-04-01","Details",""
"65",61,"Springboard","Knodium","35,000","seed","2012-04-01","Details",""
"66",62,"Kima Ventures","Blottr","612,000","venture","2013-02-21","Details",""
"67",63,"Paul Nikkel","Birdback","2,400,000","venture","2014-02-06","Details",""
"68",64,"Webb Investment Network","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"69",65,"Y Combinator","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"70",66,"Springboard UK","The Backscratchers","15,000","seed","2012-04-15","Details",""
"71",67,"Springboard","AdWings","15,000","venture","2011-05-01","Details","Dead"
"72",68,"Playfair Capital","Blottr","612,000","venture","2013-02-21","Details",""
"73",69,"Bill Liao","PlayMob","13,000","angel","2011-07-01","Details",""
"74",70,"NESTA Investments","PlayMob","500,000","venture","2012-03-08","Details",""
