"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"The Alchemist Accelerator","WeLink",NA,"seed","2016-04-01","Details",NA
"2",2,"StartEngine","WeLink",NA,"seed","2016-04-01","Details",NA
"3",1,"Start Engine","ThrdPlace","","seed","2012-03-21","Details",""
"4",2,"Avinash Karnani","Flinja","","seed","2013-10-13","Details",""
"5",3,"Michael Liou","Gonnabe","200,000","seed","2013-02-10","Details",""
"6",4,"Juniper Networks","Enplug","2,500,000","seed","2014-04-17","Details",""
"7",5,"Start Engine","Fad.io","","seed","2012-06-29","Details","Dead"
"8",6,"Idealab","Enplug","2,500,000","seed","2014-04-17","Details",""
"9",7,"Howard Marks","Flinja","","seed","2013-10-13","Details",""
"10",8,"Emaan Amidi","Gonnabe","200,000","seed","2013-02-10","Details",""
"11",9,"Tony Chen","Gonnabe","200,000","seed","2013-02-10","Details",""
"12",10,"Start Engine","MergeLocal","","seed","2012-06-29","Details","Dead"
"13",11,"Karlin Ventures","Pagewoo","1,200,000","seed","2013-08-13","Details",""
"14",12,"TenOneTen Ventures","Pagewoo","1,200,000","seed","2013-08-13","Details",""
"15",13,"Behzad Kianmahd","Gonnabe","200,000","seed","2013-02-10","Details",""
"16",14,"Start Engine","Pronoise","","seed","2012-03-21","Details","Dead"
"17",15,"Bill Gross","Enplug","2,500,000","seed","2014-04-17","Details",""
"18",16,"zPark Venture","Enplug","2,500,000","seed","2014-04-17","Details",""
"19",17,"Start Engine","Hypemarks","20,000","seed","2011-12-02","Details",""
"20",18,"DominateFund","Enplug","2,500,000","seed","2014-04-17","Details",""
"21",19,"Troy Carter","Enplug","2,500,000","seed","2014-04-17","Details",""
"22",20,"Start Engine","Overhead.fm","","seed","2012-09-21","Details",""
"23",21,"Walt Winshall","Flinja","","seed","2013-10-13","Details",""
"24",22,"Start Engine","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"25",23,"Start Engine","Enplug","1,200,000","seed","2012-09-21","Details",""
"26",24,"Amidi Group","Enplug","2,500,000","seed","2014-04-17","Details",""
"27",25,"David Cohen","Enplug","2,500,000","seed","2014-04-17","Details",""
"28",26,"Rasoul Oskouy","Enplug","2,500,000","seed","2014-04-17","Details",""
"29",27,"VoiVoda Ventures","Gonnabe","200,000","seed","2013-02-10","Details",""
"30",28,"Start Engine","Afterschool.me","","seed","2012-09-21","Details",""
"31",29,"Justin Caldbeck","Enplug","2,500,000","seed","2014-04-17","Details",""
"32",30,"Chris Hameetman","Gonnabe","200,000","seed","2013-02-10","Details",""
"33",31,"StartEngine","WeLink","","seed","2016-04-01","Details",""
"34",32,"Michael Kianmahd","Gonnabe","200,000","seed","2013-02-10","Details",""
"35",33,"Lighter Capital","WeLink","100,000","debt_financing","2016-12-29","Details",""
"36",34,"Alchemist Accelerator","WeLink","","seed","2016-04-01","Details",""
"37",35,"University of Southern California","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"38",36,"Start Engine","Pagewoo","","seed","2012-03-21","Details",""
"39",37,"Paul Kessler","Flinja","","seed","2013-10-13","Details",""
"40",38,"Ross Levinsohn","Enplug","2,500,000","seed","2014-04-17","Details",""
"41",39,"Oaktree Capital Management","Enplug","2,500,000","seed","2014-04-17","Details",""
"42",40,"Jonathan Mi","Flinja","","seed","2013-10-13","Details",""
"43",41,"Techstars","Flinja","","seed","2013-10-13","Details",""
"44",42,"Howard Marks","Enplug","2,500,000","seed","2014-04-17","Details",""
"45",43,"Start Engine","BetterYou","","seed","2012-06-29","Details",""
"46",44,"Fred Smith","Flinja","","seed","2013-10-13","Details",""
"47",45,"Start Engine","FitKit","","seed","2012-09-21","Details",""
"48",46,"Start Engine","MyRight","","seed","2012-09-21","Details",""
"49",47,"Kaplan Ventures","Flinja","","seed","2013-10-13","Details",""
"50",48,"AFSquare","Enplug","1,200,000","seed","2012-09-21","Details",""
"51",49,"Hossein Eslambolchi","Enplug","2,500,000","seed","2014-04-17","Details",""
"52",50,"Start Engine","Rivono","","seed","2012-06-29","Details","Dead"
"53",51,"Paul Kessler","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"54",52,"Start Engine","Fromography","","seed","2012-06-29","Details",""
"55",53,"Howard Marks","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"56",54,"Start Engine","KokoChi","","seed","2012-06-29","Details",""
"57",55,"Plug & Play Ventures","Enplug","1,200,000","seed","2012-09-21","Details",""
"58",56,"Rahim Amidi","Gonnabe","200,000","seed","2013-02-10","Details",""
"59",57,"Start Engine","Gonnabe","","seed","2012-03-21","Details",""
