"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"StartFast Venture Accelerator","Glyphr","18,000","seed","2013-05-01","Details",""
"2",2,"StartFast Venture Accelerator","PadProof","","undisclosed","2013-05-01","Details",""
"3",3,"StartFast Venture Accelerator","Symcircle","18,000","seed","2013-05-01","Details",""
"4",4,"StartFast Venture Accelerator","Streamspec","","undisclosed","2013-05-01","Details",""
"5",5,"StartFast Venture Accelerator","WedWu","","undisclosed","2013-05-01","Details",""
"6",6,"StartFast Venture Accelerator","BitePal","","undisclosed","2013-05-01","Details",""
"7",7,"StartFast Venture Accelerator","RevoPT","12,000","seed","2012-05-14","Details",""
"8",8,"StartFast Venture Accelerator","CanVita","","undisclosed","2013-05-01","Details",""
"9",9,"StartFast Venture Accelerator","Glyphr","4,000,000","venture","2014-02-11","Details",""
"10",10,"StartFast Venture Accelerator","Tivity","18,000","seed","2012-05-14","Details","Dead"
"11",1,"StartFast Venture Accelerator","Glyphr","18,000","seed","2013-05-01","Details",""
"12",2,"Venture Capital Fund of New England","Glyphr","4,000,000","venture","2014-02-11","Details",""
"13",3,"StartFast Venture Accelerator","PadProof","","undisclosed","2013-05-01","Details",""
"14",4,"StartFast Venture Accelerator","Symcircle","18,000","seed","2013-05-01","Details",""
"15",5,"StartFast Venture Accelerator","Streamspec","","undisclosed","2013-05-01","Details",""
"16",6,"Stonehenge Growth Equity","Glyphr","4,000,000","venture","2014-02-11","Details",""
"17",7,"Martin Babinec","Glyphr","4,000,000","venture","2014-02-11","Details",""
"18",8,"StartFast Venture Accelerator","WedWu","","undisclosed","2013-05-01","Details",""
"19",9,"StartFast Venture Accelerator","BitePal","","undisclosed","2013-05-01","Details",""
"20",10,"StartFast Venture Accelerator","RevoPT","12,000","seed","2012-05-14","Details",""
"21",11,"StartFast Venture Accelerator","CanVita","","undisclosed","2013-05-01","Details",""
"22",12,"StartFast Venture Accelerator","Glyphr","4,000,000","venture","2014-02-11","Details",""
"23",13,"Rationalwave Capital Partners","Glyphr","4,000,000","venture","2014-02-11","Details",""
"24",14,"StartFast Venture Accelerator","Tivity","18,000","seed","2012-05-14","Details","Dead"
