"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"StartupYard","TabFoundry","10,000","seed","2012-05-01","Details",""
"2",2,"Techstars","TeskaLabs","337,000","seed","2015-08-19","Details",""
"3",3,"StartupYard","Hlidacky.cz","10,000","seed","2013-03-11","Details",""
"4",4,"StartupYard","AskYou","7,500","seed","2011-09-01","Details","Dead"
"5",5,"StartupYard","BrandEmbassy","","seed","2011-09-01","Details",""
"6",6,"StartupYard","Yummy Food Delivery","10,000","seed","2013-03-11","Details","Dead"
"7",7,"StartupYard","works.io","10,000","seed","2013-03-11","Details",""
"8",1,"StartupYard","TabFoundry","10,000","seed","2012-05-01","Details",""
"9",2,"Rockaway Capital","BrandEmbassy","1,000,000","seed","2014-02-19","Details",""
"10",3,"Reflex Capital","BrandEmbassy","3,000,000","venture","2012-06-01","Details",""
"11",4,"Spread Capital","BrandEmbassy","1,000,000","seed","2014-02-19","Details",""
"12",5,"London Capital Group","BrandEmbassy","1,000,000","seed","2014-02-19","Details",""
"13",6,"StartupYard","Hlidacky.cz","10,000","seed","2013-03-11","Details",""
"14",7,"StartupYard","AskYou","7,500","seed","2011-09-01","Details","Dead"
"15",8,"StartupYard","BrandEmbassy","","seed","2011-09-01","Details",""
"16",9,"StartupYard","Yummy Food Delivery","10,000","seed","2013-03-11","Details","Dead"
"17",10,"StartupYard","works.io","10,000","seed","2013-03-11","Details",""
