"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Startupbootcamp","Archify","15,000","seed","2011-09-05","Details","Dead"
"2",2,"Startupbootcamp","Fanarchy","15,000","seed","2012-07-01","Details","Dead"
"3",3,"Startupbootcamp","Brand Gauge","15,000","seed","2013-12-10","Details",""
"4",4,"Startupbootcamp","Skynet Labs","12,000","seed","2012-03-12","Details",""
"5",5,"Startupbootcamp","12mass","15,000","seed","2013-12-10","Details",""
"6",6,"Startupbootcamp","Leapfunder","15,000","seed","2015-02-27","Details",""
"7",7,"Startupbootcamp","Kiggit","15,000","seed","2013-08-02","Details",""
"8",8,"Startupbootcamp","Myrio","15,000","seed","2011-05-22","Details",""
"9",9,"Startupbootcamp","7write","15,000","seed","2013-04-02","Details",""
"10",10,"Startupbootcamp","OneLoudr","15,000","seed","2011-09-05","Details",""
"11",11,"Techstars","Avuba","15,000","seed","2013-08-05","Details",""
"12",12,"Startupbootcamp","TeachNgo","15,000","seed","2013-01-02","Details",""
"13",13,"Y Combinator","Zeplin","15,000","seed","2014-05-16","Details",""
"14",14,"Startupbootcamp","Thingies","15,000","seed","2013-01-27","Details",""
"15",15,"Startupbootcamp","Dittit","15,000","seed","2012-07-01","Details","Exited"
"16",16,"Startupbootcamp","Capsule.fm","15,000","seed","2012-08-03","Details",""
"17",17,"Startupbootcamp","myMedScore","15,000","seed","2013-02-26","Details",""
"18",18,"Startupbootcamp","Leapfunder","15,000","seed","2014-02-27","Details",""
"19",19,"Startupbootcamp","LayerGloss","15,000","seed","2012-04-04","Details",""
"20",20,"SURGE","Skynet Labs","15,000","seed","2012-01-16","Details",""
"21",21,"Startupbootcamp","TheName.is","15,000","seed","2013-01-27","Details",""
"22",22,"Startupbootcamp","Presentain","20,000","seed","2013-04-02","Details",""
"23",23,"Startupbootcamp","SendCloud","15,000","seed","2014-02-27","Details",""
"24",24,"Startupbootcamp","Skynet Labs","","seed","2012-01-01","Details",""
"25",25,"Startupbootcamp","PassnFly","150,000","seed","2013-10-01","Details",""
"26",26,"Startupbootcamp","Sensus Energy","15,000","seed","2013-11-11","Details",""
"27",27,"Startupbootcamp","ItsPlatonic","15,000","seed","2012-09-03","Details",""
