"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Straight Shot","Business Exchange","135,000","seed","2013-12-03","Details",NA
"2",2,"Straight Shot","Locallux","20,000","seed","2014-06-09","Details",NA
"3",1,"Dundee Venture Capital","Cympel","175,000","seed","2013-07-01","Details",""
"4",2,"Mark Griffis","Huntforce","400,000","seed","2013-09-30","Details",""
"5",3,"Treetop Ventures","Huntforce","400,000","seed","2013-09-30","Details",""
"6",4,"StartLabs","Business Exchange","135,000","seed","2013-12-03","Details",""
"7",5,"Dundee Venture Capital","Business Exchange","135,000","seed","2013-12-03","Details",""
"8",6,"Dundee Venture Capital","Viirt","900,000","seed","2015-03-21","Details",""
"9",7,"Fundable","Locallux","5,200","seed","2013-09-24","Details",""
"10",8,"Invest Nebraska","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"11",9,"David Arnold","Locallux","20,000","seed","2014-06-09","Details",""
"12",10,"Dundee Venture Capital","Huntforce","400,000","seed","2013-09-30","Details",""
"13",11,"Foundry Group","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"14",12,"Mark Hasebroock","Locallux","20,000","seed","2014-06-09","Details",""
"15",13,"FG Angels","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"16",14,"Boulder Ventures","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"17",15,"Straight Shot","Business Exchange","135,000","seed","2013-12-03","Details",""
"18",16,"Straight Shot","Locallux","20,000","seed","2014-06-09","Details",""
"19",17,"Dundee Venture Capital","Huntforce","","seed","2013-06-15","Details",""
