"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Tech Wildcatters","Atticous","25,000","seed","2012-04-02","Details",""
"2",2,"500startups","Credii","","seed","2012-06-06","Details",""
"3",3,"Tech Wildcatters","NewtonInsight","","seed","2011-12-06","Details",""
"4",4,"Tech Wildcatters","imagevisionlabs","","seed","2010-01-01","Details",""
"5",5,"Tech Wildcatters","Qwiqq","250,000","seed","2012-04-09","Details",""
"6",6,"Tech Wildcatters","Credii","","seed","2012-06-06","Details",""
"7",7,"Tech Wildcatters","imagevisionlabs","2,500,000","venture","2014-03-06","Details",""
"8",8,"Tech Wildcatters","CollegeJobConnect","20,000","seed","2010-05-01","Details","Dead"
"9",9,"Tech Wildcatters","PayTap","20,000","angel","2011-08-01","Details",""
"10",10,"Tech Wildcatters","FanTree","","seed","2012-07-12","Details",""
"11",11,"Techstars","My Dealer Service","145,000","convertible_note","2015-07-08","Details",""
"12",12,"Tech Wildcatters","YooLotto","","seed","2012-06-06","Details",""
"13",13,"Tech Wildcatters","Mobestream Media","","seed","2010-01-01","Details","Exited"
"14",14,"Tech Wildcatters","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"15",1,"Cleve Johnson","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"16",2,"7-Ventures, LLC","YooLotto","820,000","seed","2013-02-22","Details",""
"17",3,"Pangea's Edge Holdings","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"18",4,"Health Wildcatters","imagevisionlabs","2,500,000","venture","2014-03-06","Details",""
"19",5,"Green Park & Golf Ventures","imagevisionlabs","2,500,000","venture","2014-03-06","Details",""
"20",6,"Tech Wildcatters","Atticous","25,000","seed","2012-04-02","Details",""
"21",7,"Tech Wildcatters","NewtonInsight","","seed","2011-12-06","Details",""
"22",8,"Amitav Misra","Qwiqq","250,000","seed","2012-04-09","Details",""
"23",9,"Sean Jazayeri","OrderMapper","70,000","angel","2009-01-01","Details",""
"24",10,"Tech Wildcatters","imagevisionlabs","","seed","2010-01-01","Details",""
"25",11,"VTF Capital (fka VegasTechFund)","OrderMapper","550,000","venture","2013-01-25","Details",""
"26",12,"Gatebridge Investments","Qwiqq","250,000","seed","2012-04-09","Details",""
"27",13,"Charles Powell","Qwiqq","200,000","seed","2011-03-08","Details",""
"28",14,"Tech Wildcatters","Qwiqq","250,000","seed","2012-04-09","Details",""
"29",15,"Ryan Scripps","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"30",16,"Neal Rapoport","imagevisionlabs","1,250,000","venture","2010-10-22","Details",""
"31",17,"Tech Wildcatters","Credii","","seed","2012-06-06","Details",""
"32",18,"Ben Kepes","Credii","50,000","seed","2013-05-01","Details",""
"33",19,"David Humphrey","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"34",20,"Tech Wildcatters","imagevisionlabs","2,500,000","venture","2014-03-06","Details",""
"35",21,"Tech Wildcatters","CollegeJobConnect","20,000","seed","2010-05-01","Details","Dead"
"36",22,"Charles Powell","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"37",23,"Start-Up Chile","Credii","40,000","seed","2012-02-09","Details",""
"38",24,"Gatebridge Investments","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"39",25,"Tech Wildcatters","PayTap","20,000","angel","2011-08-01","Details",""
"40",26,"Tech Wildcatters","FanTree","","seed","2012-07-12","Details",""
"41",27,"Precept Capital Management","PayTap","500,000","seed","2012-04-01","Details",""
"42",28,"Sandor Capital","PayTap","500,000","seed","2012-04-01","Details",""
"43",29,"500 Startups","OrderMapper","10,000","seed","2010-12-21","Details",""
"44",30,"Cleve Johnson","Qwiqq","200,000","seed","2011-03-08","Details",""
"45",31,"Tech Wildcatters","YooLotto","","seed","2012-06-06","Details",""
"46",32,"Roger Chang","YooLotto","257,500","seed","2012-12-22","Details",""
"47",33,"Austin Ventures","Mobestream Media","1,750,000","venture","2011-02-02","Details","Exited"
"48",34,"Gabriella Draney","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"49",35,"7-Eleven","YooLotto","820,000","seed","2013-02-22","Details",""
"50",36,"500 Startups","Credii","50,000","seed","2013-05-01","Details",""
"51",37,"Aristos Ventures","Nimbix","","venture","2014-12-12","Details",""
"52",38,"Tech Wildcatters","Mobestream Media","","seed","2010-01-01","Details","Exited"
"53",39,"Larry Goldstein","Qwiqq","250,000","seed","2012-04-09","Details",""
"54",40,"Amitav Misra","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"55",41,"Tech Wildcatters","Qwiqq","1,000,000","seed","2012-10-31","Details",""
"56",42,"Larry Goldstein","Qwiqq","1,000,000","seed","2012-10-31","Details",""
