"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Techstars","LiquidLandscape","118,000","seed","2015-03-23","Details",NA
"2",2,"Techstars","Cuvva","","seed","2015-12-20","Details",NA
"3",3,"Techstars","Seldon","","seed","2016-01-25","Details",NA
"4",4,"Techstars","Stockfuse","118,000","seed","2015-03-23","Details",NA
"5",5,"Techstars","Zighra","","seed","2016-01-05","Details",NA
"6",6,"Techstars","EverLedger","118,000","seed","2015-03-23","Details",NA
"7",7,"Techstars","Aire","300,000","seed","2014-06-16","Details",NA
"8",8,"Techstars","Squirrel","50,000","seed","2014-08-15","Details",NA
"9",9,"Techstars","Cyber Driveware","100,000","seed","2016-03-21","Details",NA
"10",10,"Techstars","Alyne","20,000","undisclosed","2017-01-23","Details",NA
"11",11,"Techstars","Post-Quantum","118,000","seed","2015-03-23","Details",NA
"12",12,"Techstars","ForwardLane","1,100,000","seed","2017-01-22","Details",NA
"13",13,"Techstars","BaseStone","118,000","seed","2015-03-23","Details",NA
"14",14,"Techstars","DoPay","1,250,000","angel","2014-08-01","Details",NA
"15",15,"Seedrocket","NoviCap","","seed","2014-10-01","Details",NA
"16",16,"Techstars","ClauseMatch","100,000","seed","2014-06-01","Details",NA
"17",17,"Techstars","Ravelin","","seed","2015-03-12","Details",NA
"18",18,"Techstars","Safello","118,000","seed","2015-03-23","Details",NA
"19",19,"Boost VC","Atlas Card","","seed","2015-01-04","Details",NA
"20",1,"Techstars","FlexMinder","","seed","2011-11-01","Details","Exited"
"21",2,"Upwest Labs","Senexx","250,000","seed","2011-03-16","Details","Exited"
"22",3,"Techstars","Omniar","13,000","seed","2010-08-01","Details","Dead"
"23",4,"Techstars","ReportGrid","18,000","seed","2011-08-01","Details","Exited"
"24",5,"Techstars","Psykosoft","118,000","seed","2012-01-24","Details",""
"25",6,"Techstars","Timehop","18,000","seed","2011-01-01","Details",""
"26",7,"Techstars","TruantToday","","seed","2011-08-01","Details","Dead"
"27",8,"Techstars","StreamLine","118,000","seed","2014-08-11","Details",""
"28",9,"Techstars","WantWorthy","18,000","seed","2011-07-01","Details","Dead"
"29",10,"Techstars","Senexx","250,000","seed","2011-03-16","Details","Exited"
"30",11,"Techstars","ChatID","18,000","seed","2011-07-01","Details",""
"31",12,"Techstars","Adstruc","18,000","seed","2010-08-05","Details",""
