"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Telluride Venture Accelerator","Makeena","25,000","seed","2014-02-06","Details",""
"2",2,"Telluride Venture Accelerator","LIFEDOJO","5,100,000","venture","2017-02-07","Details",""
"3",3,"Telluride Venture Accelerator","Fresh Monster","25,000","seed","2014-02-06","Details",""
"4",4,"Telluride Venture Accelerator","The Dyrt","25,000","seed","2015-02-01","Details",""
"5",5,"Telluride Venture Accelerator","LIFEDOJO","25,000","venture","2013-12-19","Details",""
"6",6,"Telluride Venture Accelerator","Mountain Drones","25,000","seed","2015-02-01","Details",""
"7",7,"Telluride Venture Accelerator","Planitmapper","25,000","seed","2014-02-06","Details","Dead"
"8",8,"Telluride Venture Accelerator","Journey","25,000","seed","2014-02-06","Details","Dead"
"9",9,"Telluride Venture Accelerator","Awestruck Dental","25,000","seed","2014-02-06","Details",""
"10",10,"Telluride Venture Accelerator","Proeditors","25,000","seed","2015-02-01","Details",""
"11",11,"Telluride Venture Accelerator","Bazifit","25,000","seed","2015-02-01","Details",""
"12",12,"Telluride Venture Accelerator","Travel Recon","25,000","seed","2015-02-01","Details",""
"13",1,"Telluride Venture Accelerator","Makeena","25,000","seed","2014-02-06","Details",""
"14",2,"Telluride Venture Accelerator","LIFEDOJO","5,100,000","venture","2017-02-07","Details",""
"15",3,"Telluride Venture Accelerator","Fresh Monster","25,000","seed","2014-02-06","Details",""
"16",4,"JD Investments","LIFEDOJO","5,100,000","venture","2017-02-07","Details",""
"17",5,"StartUp Health","LIFEDOJO","1,000,000","seed","2016-07-22","Details",""
"18",6,"Launchpad Digital Health","LIFEDOJO","5,100,000","venture","2017-02-07","Details",""
"19",7,"Maine Angels","Hyperlite Mountain Gear","387,500","venture","2015-10-01","Details",""
"20",8,"Telluride Venture Accelerator","The Dyrt","25,000","seed","2015-02-01","Details",""
"21",9,"Telluride Venture Accelerator","LIFEDOJO","25,000","venture","2013-12-19","Details",""
"22",10,"Launchpad Digital Health","LIFEDOJO","900,000","seed","2015-03-23","Details",""
"23",11,"Maine Venture Fund","Hyperlite Mountain Gear","908,871","venture","2014-08-14","Details",""
"24",12,"Telluride Venture Accelerator","Mountain Drones","25,000","seed","2015-02-01","Details",""
"25",13,"Telluride Venture Accelerator","Planitmapper","25,000","seed","2014-02-06","Details","Dead"
"26",14,"Telluride Venture Accelerator","Journey","25,000","seed","2014-02-06","Details","Dead"
"27",15,"Telluride Venture Accelerator","Awestruck Dental","25,000","seed","2014-02-06","Details",""
"28",16,"Hart Ventures","Globa.li","15,000","seed","2010-04-01","Details",""
"29",17,"Sodexo Ventures","LIFEDOJO","5,100,000","venture","2017-02-07","Details",""
"30",18,"GP Ventures","LIFEDOJO","5,100,000","venture","2017-02-07","Details",""
"31",19,"Portland Seed Fund","The Dyrt","50,000","convertible_note","2016-03-09","Details",""
"32",20,"StartUp Health","LIFEDOJO","25,000","venture","2013-12-19","Details",""
"33",21,"Telluride Venture Accelerator","Proeditors","25,000","seed","2015-02-01","Details",""
"34",22,"Telluride Venture Accelerator","Bazifit","25,000","seed","2015-02-01","Details",""
"35",23,"Telluride Venture Accelerator","Travel Recon","25,000","seed","2015-02-01","Details",""
