"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"The Iron Yard","Pathwright","","seed","2012-07-01","Details",""
"2",2,"The Iron Yard","Leaguevine","","seed","2012-08-15","Details",""
"3",3,"The Iron Yard","NoChains","","seed","2012-08-15","Details",""
"4",4,"The Iron Yard","Trips n Salsa","","seed","2012-07-01","Details","Dead"
"5",5,"The Iron Yard","RidePost","","seed","2012-08-15","Details",""
"6",6,"The Iron Yard","MoonClerk","","seed","2012-08-15","Details",""
"7",7,"The Iron Yard","LocEngine","","seed","2012-07-01","Details",""
"8",8,"The Iron Yard","Kambit","","seed","2012-08-15","Details","Dead"
"9",9,"Boost VC","AuditFile","","seed","2013-02-01","Details",""
"10",10,"Techstars","WantWorthy","1,000,000","seed","2012-08-09","Details","Dead"
"11",11,"Boost VC","AuditFile","3,000,000","venture","2014-02-07","Details",""
"12",1,"The Iron Yard","Pathwright",NA,"seed","2012-07-01","Details",""
"13",2,"The Iron Yard","Leaguevine",NA,"seed","2012-08-15","Details",""
"14",3,"The Iron Yard","NoChains",NA,"seed","2012-08-15","Details",""
"15",4,"The Iron Yard","Trips n Salsa",NA,"seed","2012-07-01","Details","Dead"
"16",5,"The Iron Yard","RidePost",NA,"seed","2012-08-15","Details",""
"17",6,"Fortify Ventures","RidePost",NA,"seed","2013-06-03","Details",""
"18",7,"The Iron Yard","MoonClerk",NA,"seed","2012-08-15","Details",""
"19",8,"The Iron Yard","LocEngine",NA,"seed","2012-07-01","Details",""
"20",9,"The Iron Yard","Kambit",NA,"seed","2012-08-15","Details","Dead"
