"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Techstars","Remitly","5,500,000","venture","2014-01-06","Details",NA
"2",2,"Techstars","Remitly","12,500,000","venture","2015-03-19","Details",NA
"3",3,"Techstars","Remitly","1,650,000","seed","2012-04-11","Details",NA
"4",4,"Techstars","Remitly","38,500,000","venture","2016-04-26","Details",NA
"5",5,"Techstars","Remitly","2,600,000","venture","2013-01-03","Details",NA
"6",6,"Techstars","True Facet","6,000,000","venture","2016-09-20","Details",NA
"7",7,"Techstars","Everpath","2,600,000","seed","2015-11-16","Details",NA
"8",8,"Techstars","Owlet","15,000,000","venture","2016-11-03","Details",NA
"9",9,"Techstars","Everpath","3,820,836","venture","2015-09-24","Details",NA
"10",1,"Techstars","Innervate","1,300,000","seed","2015-12-22","Details",NA
"11",2,"Techstars","Giant Thinkwell","3,000,000","venture","2013-04-03","Details",NA
