"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Tumml","KidAdmit","","seed","2013-09-01","Details",""
"2",2,"Tumml","Weeleo","20,000","seed","2014-06-11","Details","Dead"
"3",3,"Y Combinator","Valor Water Analytics","120,000","seed","2014-08-20","Details",""
"4",4,"Tumml","Farmery!","20,000","seed","2014-05-01","Details",""
"5",5,"Tumml","letsmake","20,000","seed","2014-09-01","Details",""
"6",6,"Y Combinator","Chariot","3,000,000","seed","2015-04-22","Details","Exited"
"7",7,"Tumml","WorkHands","20,000","seed","2013-09-01","Details",""
"8",8,"Tumml","Sovi","20,000","seed","2014-03-01","Details",""
"9",9,"Tumml","Neighborly","20,000","seed","2014-05-01","Details",""
"10",10,"Tumml","PopUpsters","20,000","seed","2014-06-11","Details",""
"11",11,"The Alchemist Accelerator","WorkHands","20,000","seed","2013-09-01","Details",""
"12",12,"Tumml","Akimbo","20,000","seed","2014-08-01","Details",""
"13",13,"500startups","Neighbor.ly","","venture","2014-05-01","Details",""
"14",14,"Tumml","Valor Water Analytics","120,000","seed","2014-08-20","Details",""
"15",15,"Y Combinator","Copia","20,000","seed","2014-05-01","Details",""
"16",1,"Tumml","KidAdmit","","seed","2013-09-01","Details",""
"17",2,"Apsara Capital","Valor Water Analytics","1,000,000","seed","2015-04-01","Details",""
"18",3,"Tumml","Weeleo","20,000","seed","2014-06-11","Details","Dead"
"19",4,"Tumml","Farmery!","20,000","seed","2014-05-01","Details",""
"20",5,"SV Angel","KidAdmit","","seed","2014-05-02","Details",""
"21",6,"Y Combinator","Valor Water Analytics","120,000","seed","2014-12-01","Details",""
"22",7,"Tumml","letsmake","20,000","seed","2014-09-01","Details",""
"23",8,"Anonymous Investor","Valor Water Analytics","120,000","seed","2014-08-20","Details",""
"24",9,"Winklevoss Capital","Hitch","600,000","seed","2014-03-13","Details","Exited"
"25",10,"Kima Ventures","Hitch","600,000","seed","2014-03-13","Details","Exited"
"26",11,"500 Startups","Neighborly","100,000","seed","2014-07-01","Details",""
"27",12,"Synygy","Valor Water Analytics","1,600,000","seed","2016-06-11","Details",""
"28",13,"Bpifrance","Weeleo","20,000","seed","2014-06-11","Details","Dead"
"29",14,"Tumml","WorkHands","20,000","seed","2013-09-01","Details",""
"30",15,"Deciens Capital","WorkHands","","angel","2013-07-01","Details",""
"31",16,"Tumml","Sovi","20,000","seed","2014-03-01","Details",""
"32",17,"Cyan Banister","Hitch","600,000","seed","2014-03-13","Details","Exited"
"33",18,"Scott Banister","Hitch","600,000","seed","2014-03-13","Details","Exited"
"34",19,"Tumml","Neighborly","20,000","seed","2014-05-01","Details",""
"35",20,"Tumml","PopUpsters","20,000","seed","2014-06-11","Details",""
"36",21,"Urban Innovation Fund","Valor Water Analytics","1,600,000","seed","2016-06-11","Details",""
"37",22,"Wayee Chu","KidAdmit","","seed","2014-05-02","Details",""
"38",23,"Tumml","Akimbo","20,000","seed","2014-08-01","Details",""
"39",24,"Ethan Beard","KidAdmit","","seed","2014-05-02","Details",""
"40",25,"Tumml","Valor Water Analytics","120,000","seed","2014-08-20","Details",""
"41",26,"Knight Foundation","Neighborly","175,000","grant","2013-06-18","Details",""
"42",27,"500 Startups","Valor Water Analytics","1,600,000","seed","2016-06-11","Details",""
"43",28,"Apsara Capital","Valor Water Analytics","1,600,000","seed","2016-06-11","Details",""
"44",29,"K9 Ventures","KidAdmit","","seed","2014-05-02","Details",""
"45",30,"Shore Ventures II","Valor Water Analytics","1,600,000","seed","2016-06-11","Details",""
