"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"ZeroTo510","NonOpthalmics","50,000","seed","2012-09-01","Details",NA
"2",2,"ZeroTo510","Bionanovations","100,000","seed","2012-08-16","Details",NA
"3",3,"ZeroTo510","EcoSurg","100,000","seed","2012-09-01","Details",NA
"4",4,"Highway1","Compression Kinetics","50,000","seed","2014-05-15","Details",NA
"5",1,"MB Venture Partners","Handminder","50,000","seed","2012-06-01","Details",NA
"6",2,"Innova Memphis","Handminder","50,000","seed","2012-06-01","Details",NA
"7",3,"Innova Memphis","NonOpthalmics","25,000","venture","2012-07-19","Details",NA
"8",4,"MB Venture Partners","EcoSurg","150,000","seed","2012-06-01","Details",NA
"9",5,"Innova Memphis","Urova Medical","250,000","seed","2013-06-01","Details",NA
"10",6,"MB Venture Partners","Urova Medical","100,000","seed","2012-09-01","Details",NA
"11",7,"Innova Memphis","EcoSurg","150,000","seed","2012-06-01","Details",NA
"12",8,"Innova Memphis","EcoSurg","100,000","seed","2012-09-01","Details",NA
"13",9,"MB Venture Partners","EcoSurg","100,000","seed","2014-06-19","Details",NA
"14",10,"Innova Memphis","EcoSurg","140,000","seed","2013-08-08","Details",NA
"15",11,"ZeroTo510","NonOpthalmics","50,000","seed","2012-09-01","Details",NA
"16",12,"Innova Memphis","Urova Medical","50,000","seed","2012-06-01","Details",NA
"17",13,"Innova Memphis","Urova Medical","4,000","seed","2014-01-07","Details",NA
"18",14,"Innova Memphis","NonOpthalmics","50,000","seed","2012-09-01","Details",NA
"19",15,"MB Venture Partners","Bionanovations","40,000","seed","2013-09-01","Details",NA
"20",16,"Innova Memphis","Bionanovations","25,000","venture","2012-05-24","Details",NA
"21",17,"ZeroTo510","Bionanovations","100,000","seed","2012-08-16","Details",NA
"22",18,"MB Venture Partners","EcoSurg","100,000","seed","2012-09-01","Details",NA
"23",19,"MB Venture Partners","EcoSurg","140,000","seed","2013-08-08","Details",NA
"24",20,"MB Venture Partners","Bionanovations","100,000","seed","2012-08-16","Details",NA
"25",21,"Innova Memphis","EcoSurg","100,000","seed","2014-06-19","Details",NA
"26",22,"Innova Memphis","Bionanovations","40,000","seed","2013-09-01","Details",NA
"27",23,"Innova Memphis","Bionanovations","100,000","seed","2012-08-16","Details",NA
"28",24,"ZeroTo510","EcoSurg","100,000","seed","2012-09-01","Details",NA
"29",25,"MB Venture Partners","NonOpthalmics","50,000","seed","2012-09-01","Details",NA
"30",26,"MB Venture Partners","Urova Medical","50,000","seed","2012-06-01","Details",NA
"31",27,"Innova Memphis","Urova Medical","100,000","seed","2012-09-01","Details",NA
"32",28,"Innova Memphis","EcoSurg","30,000","debt_financing","2015-08-26","Details",NA
