"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","Validere","2,000,000","seed","2016-09-07","Details",NA
"2",2,"Y Combinator","MailTime","500,000","angel","2014-01-10","Details",NA
"3",3,"Y Combinator","ZenProspect","2,200,000","seed","2016-05-01","Details",NA
"4",4,"Y Combinator","Mosaic","","angel","2015-12-15","Details",NA
"5",5,"Y Combinator","Yoshi","2,100,000","venture","2017-01-12","Details",NA
"6",6,"Y Combinator","Vidcode","1,500,000","seed","2017-06-07","Details",NA
"7",7,"Techstars","Polly.ai","1,200,000","seed","2016-08-18","Details",NA
"8",8,"Y Combinator","HistoWiz","1,000,000","seed","2015-02-06","Details",NA
"9",1,"Y Combinator","Raven Tech","3,000,000","angel","2014-05-30","Details","Exited"
"10",2,"Y Combinator","Raven Tech","15,000,000","venture","2015-05-31","Details","Exited"
"11",3,"Y Combinator","Prizeo","2,500,000","seed","2013-06-06","Details",""
