"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"fbFund","Life360","50,000","seed","2009-05-28","Details",""
"2",2,"fbFund","Twenty-20 Cricket","25,000","grant","2008-10-15","Details",""
"3",3,"fbFund","GroupCard","","seed","2009-06-01","Details","Exited"
"4",4,"fbFund","Nutshell Mail","","seed","2009-05-29","Details","Exited"
"5",5,"LaunchBox Digital","Koofers","","grant","2008-10-15","Details",""
"6",6,"fbFund","MyChurch","","seed","2009-06-01","Details",""
"7",7,"fbFund","Workstir","","seed","2009-06-01","Details","Dead"
"8",8,"Seedcamp","rentmineonline","","seed","2009-06-01","Details","Exited"
"9",9,"fbFund","RentMineOnline","","seed","2009-06-01","Details","Exited"
"10",10,"500startups","ninua","150,000","seed","2011-01-17","Details",""
"11",11,"fbFund","Networked Blogs","150,000","seed","2011-01-17","Details",""
"12",12,"fbFund","Koofers","","grant","2008-10-15","Details",""
"13",13,"fbFund","RunThere","","seed","2009-06-01","Details",""
"14",1,"Battery Ventures","Kontagent","12,000,000","venture","2011-11-10","Details",""
"15",2,"fbFund","Life360","50,000","seed","2009-05-28","Details",""
"16",3,"Altos Ventures","Koofers","2,000,000","seed","2010-01-22","Details",""
"17",4,"Venture51","Life360","5,500,000","venture","2011-09-01","Details",""
"18",5,"Altos Ventures","Kontagent","12,000,000","venture","2011-11-10","Details",""
"19",6,"Peery Foundation","Samasource","100,000","grant","2012-03-01","Details",""
"20",7,"FF Angel LLC","Life360","1,000,000","angel","2009-11-23","Details",""
"21",8,"Expansion Venture Capital","Life360","10,000,000","venture","2013-07-07","Details",""
"22",9,"LaunchTime","Kontagent","1,000,000","angel","2010-04-09","Details",""
"23",10,"500 Startups","Networked Blogs","100,000","seed","2011-01-17","Details",""
"24",11,"Flora Family Foundation","Samasource","80,000","grant","2013-01-01","Details",""
"25",12,"Seraph Group","Life360","5,500,000","venture","2011-09-01","Details",""
"26",13,"Carthona Capital","Life360","50,000","seed","2009-05-28","Details",""
"27",14,"Vinod Khosla","Vittana","","seed","2010-01-01","Details",""
"28",15,"Business in Development Challenge","Samasource","35,000","grant","2008-09-01","Details",""
"29",16,"Fontinalis Partners","Life360","10,000,000","venture","2013-07-07","Details",""
"30",17,"Google","Vittana","","seed","2010-01-01","Details",""
"31",18,"Jameson Hsu","Kontagent","1,000,000","angel","2010-04-09","Details",""
"32",19,"Timothy Ferriss","Vittana","","seed","2010-01-01","Details",""
"33",20,"TMT Investments","Networked Blogs","300,000","seed","2011-06-01","Details",""
"34",21,"ADT Security","Life360","50,000,000","venture","2014-05-15","Details",""
"35",22,"Flora Family Foundation","Samasource","20,000","grant","2010-06-30","Details",""
"36",23,"fbFund","Twenty-20 Cricket","25,000","grant","2008-10-15","Details",""
"37",24,"Altos Ventures","Koofers","5,000,000","venture","2010-09-29","Details",""
"38",25,"Zelkova Ventures","Nutshell Mail","","seed","2009-05-29","Details","Exited"
"39",26,"fbFund","GroupCard","","seed","2009-06-01","Details","Exited"
"40",27,"BMW i Ventures","Life360","10,000,000","venture","2013-07-07","Details",""
"41",28,"Mark Goines","Life360","1,000,000","angel","2009-11-23","Details",""
"42",29,"Alex Hoye","RentMineOnline","50,000","seed","2007-09-01","Details","Exited"
"43",30,"Auren Hoffman","Kontagent","1,000,000","angel","2010-04-09","Details",""
"44",31,"Maverick Capital","Kontagent","12,000,000","venture","2011-11-10","Details",""
"45",32,"Revolution LLC","Koofers","5,000,000","venture","2010-09-29","Details",""
"46",33,"QED Investors","Koofers","5,000,000","venture","2010-09-29","Details",""
"47",34,"Social Starts","Kontagent","1,000,000","angel","2010-04-09","Details",""
"48",35,"fbFund","Nutshell Mail","","seed","2009-05-29","Details","Exited"
"49",36,"TMT Investments","Networked Blogs","200,000","seed","2012-12-12","Details",""
"50",37,"John Templeton Foundation","Samasource","10,000","grant","2009-10-31","Details",""
