"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","central.ly","1,000,000","seed","2013-03-06","Details",""
"2","Excelerate Labs","SpotHero","2,500,000","venture","2012-12-13","Details",""
"3","Excelerate Labs","SpotHero","4,500,000","venture","2014-06-11","Details",""
"4","500startups","central.ly","4,000,000","venture","2014-05-16","Details",""
"5","Boost VC","Verse","8,300,000","venture","2016-10-24","Details",""
"6","Y Combinator","Segment.io","15,000,000","venture","2014-10-08","Details",""
"7","Boost VC","Verse","20,500,000","venture","2017-05-16","Details",""
"8","Y Combinator","Segment.io","600,000","seed","2013-01-15","Details",""
"9","Y Combinator","Segment.io","64,000,000","venture","2017-07-13","Details",""
"10","Y Combinator","Segment.io","27,000,000","venture","2015-10-09","Details",""
"11","Excelerate Labs","SpotHero","20,000,000","venture","2015-08-19","Details",""
