"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Copia","","non_equity_assistance","2013-06-01","Details",""
"2","Y Combinator","Xendit","","non_equity_assistance","2015-06-01","Details",""
"3","GammaRebels","IntelClinic","","non_equity_assistance","2016-06-01","Details",""
"4","500startups","Teaman & Company","","non_equity_assistance","2014-11-01","Details",""
"5","The Alchemist Accelerator","eventable","","non_equity_assistance","2013-02-01","Details",""
"6","Highway1","Cocoon Cam","","non_equity_assistance","2016-06-01","Details",""
"7","The Alchemist Accelerator","ShoppinPal","","non_equity_assistance","2013-02-01","Details",""
"8","The Alchemist Accelerator","Lendsnap, Inc.","","non_equity_assistance","2015-06-01","Details",""
"9","Y Combinator","Lendsnap","","non_equity_assistance","2015-06-01","Details",""
"10","Boost VC","Ava","","non_equity_assistance","2014-12-01","Details",""
"11","Boost VC","Transcense","","non_equity_assistance","2014-12-01","Details",""
"12","Imagine K12","Leada","","non_equity_assistance","2014-06-01","Details",""
"13","Techstars","iDoc24","","non_equity_assistance","2016-06-01","Details",""
"14","Y Combinator","Leada","","non_equity_assistance","2014-06-01","Details",""
"15","Techstars","AdsNative","","non_equity_assistance","2011-11-01","Details",""
