"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Dundee Venture Capital","Cympel","175,000","seed","2013-07-01","Details",""
"2","Mark Griffis","Huntforce","400,000","seed","2013-09-30","Details",""
"3","Treetop Ventures","Huntforce","400,000","seed","2013-09-30","Details",""
"4","StartLabs","Business Exchange","135,000","seed","2013-12-03","Details",""
"5","Dundee Venture Capital","Business Exchange","135,000","seed","2013-12-03","Details",""
"6","Dundee Venture Capital","Viirt","900,000","seed","2015-03-21","Details",""
"7","Fundable","Locallux","5,200","seed","2013-09-24","Details",""
"8","Invest Nebraska","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"9","David Arnold","Locallux","20,000","seed","2014-06-09","Details",""
"10","Dundee Venture Capital","Huntforce","400,000","seed","2013-09-30","Details",""
"11","Foundry Group","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"12","Mark Hasebroock","Locallux","20,000","seed","2014-06-09","Details",""
"13","FG Angels","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"14","Boulder Ventures","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"15","Straight Shot","Business Exchange","135,000","seed","2013-12-03","Details",""
"16","Straight Shot","Locallux","20,000","seed","2014-06-09","Details",""
"17","Dundee Venture Capital","Huntforce","","seed","2013-06-15","Details",""
