"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Gusto","20,000,000","venture","2014-02-19","Details",""
"2","Y Combinator","MinoMonsters","1,000,000","seed","2011-11-10","Details",""
"3","Y Combinator","Paribus","2,100,000","seed","2015-10-07","Details","Exited"
"4","Y Combinator","FlightCar","5,600,000","venture","2013-04-16","Details","Exited"
"5","Y Combinator","Dr Chrono","675,000","seed","2011-07-14","Details",""
"6","Y Combinator","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"7","Y Combinator","Gusto","60,000,000","venture","2015-04-06","Details",""
"8","i/o ventures","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"9","Y Combinator","Payable","","venture","2015-12-30","Details","Exited"
"10","500startups","RealtyShares","10,000,000","venture","2015-04-07","Details",""
"11","Y Combinator","Pushbullet","1,500,000","seed","2015-01-27","Details",""
"12","Y Combinator","FundersClub","6,500,000","seed","2012-10-19","Details",""
"13","Techstars","CoachUp","2,700,000","seed","2012-11-14","Details",""
"14","Y Combinator","Listia","9,000,000","venture","2013-10-02","Details",""
"15","Y Combinator","One Month Rails","770,000","seed","2014-06-24","Details",""
"16","Blueprint Health","aidin","600,000","venture","2012-06-16","Details",""
"17","500startups","RealtyShares","20,000,000","venture","2016-02-24","Details",""
"18","i/o ventures","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"19","Y Combinator","YC W15 Stealth - #108","7,820,000","venture","2015-04-30","Details",""
"20","Y Combinator","Gusto","75,000,000","venture","2015-12-21","Details",""
"21","Imagine K12","ClassDojo","1,600,000","seed","2012-01-31","Details",""
"22","Y Combinator","Segment.io","600,000","seed","2013-01-15","Details",""
"23","Y Combinator","RideCell","","seed","2012-04-01","Details",""
"24","Communitech Hyperdrive","PumpUp","2,400,000","seed","2014-07-25","Details",""
"25","500startups","RealtyShares","1,900,000","venture","2014-04-16","Details",""
"26","Y Combinator","Dr Chrono","650,000","seed","2011-08-18","Details",""
"27","Imagine K12","ClassDojo","21,000,000","venture","2016-04-15","Details",""
"28","Imagine K12","ClassDojo","8,500,000","venture","2013-04-02","Details",""
"29","Y Combinator","Stripe","70,000,000","venture","2014-12-02","Details",""
"30","Techstars","ClassPass","40,000,000","venture","2015-01-15","Details",""
"31","New York Digital Health Accelerator","aidin","600,000","venture","2012-06-16","Details",""
"32","Techstars","Indico","3,000,000","seed","2014-11-13","Details",""
"33","Y Combinator","Stripe","150,000,000","venture","2016-11-25","Details",""
"34","Y Combinator","Voodoo Manufacturing","5,000,000","seed","2017-06-23","Details",""
"35","Techstars","ClassPass","70,000,000","venture","2017-06-16","Details",""
"36","Techstars","CoachUp","6,700,000","venture","2013-11-21","Details",""
"37","The Brandery","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"38","Y Combinator","WayUp","18,500,000","venture","2017-03-23","Details",""
"39","Amplify.LA","MapSense","2,500,000","seed","2015-05-27","Details","Exited"
"40","Y Combinator","Payable","2,100,000","seed","2015-08-05","Details","Exited"
"41","Y Combinator","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"42","Y Combinator","AirBnb","112,000,000","venture","2011-07-25","Details",""
"43","The Brandery","FlightCar","5,600,000","venture","2013-04-16","Details","Exited"
"44","Y Combinator","Stripe","20,000,000","venture","2012-07-09","Details",""
"45","Y Combinator","Vastrm","1,000,000","seed","2013-08-29","Details",""
"46","The Brandery","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"47","Y Combinator","WayUp","7,800,000","venture","2015-04-30","Details",""
"48","Y Combinator","Abacus","3,500,000","seed","2014-10-29","Details",""
